stt,en,vi,ipa
801,I pour the egg into the pan.,Tôi đỏ trứng vào chảo.,aɪ pɔː ði eɪɡ ˈɪn.tuː the pan
802,I fry one side of the egg.,Tôi rán một mặt trứng.,i fry one side of the egg
803,I should be careful not to burn it.,Tôi phải cẩn thận không để trứng bị cháy.,i should be careful not to burn it
804,I turn the egg over.,Tôi lật trứng.,i turn the egg over
805,I fry the other side.,Tôi rán mặt còn lại.,i fry the other side
806,Now it’s almost done.,Sắp xong rồi.,naʊ ɪt s ɔːl.ˈməʊst dəʊn
807,I put on an apron.,Tôi đeo tạp dề.,aɪ pʊt ɒn æn ˈeɪ.pɹən
808,It has a big rocket shape.,Nó có hình giống như tên lửa.,ɪt has æɪ bɪɡ ˈɹɒkɪt ʃeɪp
809,I hold the apron strings.,Tôi giữ dây của tạp dề,aɪ həʊld ði ˈeɪ.pɹən stɹɪŋz
810,I tie the apron.,Tôi buộc tạp dề.,aɪ taɪ ði ˈeɪ.pɹən
811,I tie the strings in a bow.,Tôi thắt dây thành một cái nơ.,aɪ taɪ the strings in a bow
812,I do it behind my back.,Tôi thắt dây sau lưng.,i do it behind my back
813,I wipe the window.,Tôi lau cửa sổ.,i wipe the window
814,I blow on the window.,Tôi hà hơi lên cửa sổ.,i blow on the window
815,I polish it.,Tôi lau cho sạch bóng.,i polish it
816,I plug in the vacuum cleaner.,Tôi cắm phích máy hút bụi.,i plug ɪn ði ˈvæ.kjuː.əm ˈkliː.nə
817,I vacuum the floor.,Tôi hút bụi sàn nhà.,aɪ ˈvæ.kjuː.əm ði flɔː
818,The vacuum cleaner sucks up the dirt.,Máy hút bụi sẽ hút hết mọi bụi bẩn.,ði ˈvæ.kjuː.əm ˈkliː.nə sʌks ap ði dɜːt
819,I put away the dirty dishes.,Tôi mang những chiếc đĩa bẩn đi.,aɪ pʊt əˈweɪ ði ˈdɜːti ˈdɪʃɪz
820,I pile up one dish on top of another.,Tôi xếp 1 cái đĩa lên trên cùng.,aɪ paɪl ap wan dish on top of another
821,We eat our lunch up.,Chúng tôi đã ăn hết bữa trưa.,we eat our lunch up
822,I wipe the table.,Tôi lau bàn.,i wipe the table
823,I clean it up.,Tôi lau sạch bàn.,i clean it up
824,I leave the soy sauce and the salt on the table.,Tôi bỏ lại nước tương và muối trên bàn.,i leave the soy sauce and the salt on the table
825,I carry the dirty dishes to the sink.,Tôi mang những cái đĩa bẩn tới bồn rửa.,aɪ ˈkæ.ɹi ði ˈdɜːti ˈdɪʃɪz tʉː ði sɪŋk
826,I carry them carefully.,Tôi bê rất cẩn thận.,aɪ ˈkæ.ɹi /ðʌm/ ˈkɛːfli
827,I don’t want to break them.,Tôi không muốn làm vỡ chúng.,aɪ dɒn t wɔnt tʉː bɹeɪk /ðʌm/
828,I soak the dishes.,Tôi nhúng những chiếc đĩa xuống nước.,aɪ /səʊk/ ði ˈdɪʃɪz
829,I fill the sink with water.,Tôi xả đầy nước vào bồn.,aɪ fɪl ði sɪŋk with ˈwoːtə
830,I wish I had a dishwasher.,Tôi ước Tôi có một cái máy rửa chén bát.,aɪ wɪʃ aɪ had æɪ /ˈdɪʃˌwɒʃə/
831,I wash the dishes.,Tôi rửa đĩa.,aɪ wɑʃ ði ˈdɪʃɪz
832,I wash them with detergent.,Tôi dùng dầu rửa để rửa.,aɪ wɑʃ /ðʌm/ with dɪˈtɜːdʒənt
833,A cup is floating in the sink.,Một cái cốc đang nổi bồng bềnh trong bồn sửa.,æɪ kʌp is ˈfləʊtɪŋ in the sink
834,I dry the dishes.,Tôi lau khô đĩa.,i dry the dishes
835,I wipe them with a dish towel.,Tôi lau đĩa bằng một cái khăn.,i wipe them with a dish towel
836,I put the dishes on the draining board.,Tôi bỏ đĩa lên giá.*draining board = drainboard: mặt nghiêng trên chạn đựng bát đựa (để ráo nước),i put the dishes on the draining board
837,I put away the dishes in the cupboard.,Tôi cho đĩa vào trong tủ chạn.,i put away the dishes in the cupboard
838,I display the neatly.,Tôi sắp xếp một cách gọn gàng.,aɪ dɪsˈpleɪ ði ˈniːtli
839,"On, no. The inside of cupboard is dusty.","Ôi không, bên trong tủ chạn bụi quá.",ɒn nəʊ ði ɪnˈsaɪd ɔv /ˈkʌbəd/ is ˈdʌsti
840,I dry the clothes in the dryer.,Tôi lau khô quần áo bằng máy sấy khô.,aɪ dɹaɪ ði kləʊ(ð)z ɪn ði ˈdɹaɪə
841,The clothes go round in it.,Quần áo quay tròn trong cái máy.,ði kləʊ(ð)z ɡəʉ ˈɹaʊnd ɪn ɪt
842,The dryer is set above the washing machine.,Máy sấy được thiết kế ngay trên máy giặt.,ði ˈdɹaɪə is sɛt əˈbʌv the washing machine
843,I put the clothes in the basket.,Tôi bỏ quần áo vào giỏ.,i put the clothes in the basket
844,I take them out of the dryer.,Tôi lấy quần áo ra khỏi máy.,i take them out of the dryer
845,The clothes are warm.,Quần áo vẫn còn ấm.,the clothes are warm
846,I take the sheet off the bed.,Tôi lấy ga ra khỏi giường.,i take the sheet off the bed
847,I wash the sheet.,Tôi giặt ga giường.,aɪ wɑʃ ði ʃiːt
848,I change the sheets.,Tôi thay ga khác vào.,aɪ tʃeɪndʒ ði ʃiːts
849,I spread the clean sheet over the bed.,Tôi trải tấm ga sạch lên giường.,aɪ spɹɛd ði kleːn ʃiːt /ˈəʊ.və(ɹ)/ ði bed
850,The clean sheet makes me feel fresh.,Tấm ga sạch làm tôi cảm thấy rất mát mẻ.,ði kleːn ʃiːt meɪks /miː/ fiːl fɹɛʃ
