stt,en,vi,ipa
851,I make the bed.,Tôi dọn giường.,aɪ meɪk ði bed
852,I take out the garbage.,Tôi đi vứt rác.,aɪ teɪk æɔt ði ˈɡɑːbɪd͡ʒ
853,The garbage is in a black plastic bag.,Rác được đựng trong túi bóng đen.,ði ˈɡɑːbɪd͡ʒ is ɪn æɪ blak ˈplæstɪk ˈbæːɡ
854,I hold the garbage can in my arm.,Tôi giữ thùng rác trên tay.,aɪ həʊld ði ˈɡɑːbɪd͡ʒ ˈkæn ɪn mi ɑːm
855,I empty the garbage can.,Tôi đổ hết rác.,aɪ ˈɛmpti ði ˈɡɑːbɪd͡ʒ can
856,I turn the can upside down.,Tôi dốc ngược thùng rác.,i turn the can upside down
857,The trash comes out.,Rác rơi hết ra ngoài.,the trash comes out
858,I untie the apron strings.,Tôi tháo tạp dề.,i untie the apron strings
859,I finish cleaning.,Tôi đã dọn dẹp xong.,i finish cleaning
860,I’m tired.,Tôi rất mệt.,i m tired
861,I take off the apron.,Tôi bỏ tạp dề ra.,aɪ teɪk ɔːf ði ˈeɪ.pɹən
862,I fold it.,Tôi gập nó.,aɪ fəʊld ɪt
863,What shall I do next?,Tôi nên làm gì tiếp theo đây?,wɔt /ˈʃæl/ aɪ dʉː nɛkst
864,I lie down on the sofa.,Tôi nằm lên ghế sofa.,aɪ laɪ̯ daʊn ɒn ði ˈsəʊfə
865,I take a rest.,Tôi nghỉ ngơi.,aɪ teɪk æɪ ɹɛst
866,I close my eyes.,Tôi nhắm mắt lại.,aɪ kləʊz mi aɪz
867,I take off the tub covers.,Tôi mở bồn tắm ra.,aɪ teɪk ɔːf ði tʌb /ˈkʌvəz/
868,The steam goes up.,Hơi nước bốc lên.,ði stiːm ɡəʊz ap
869,I put the covers aside.,Tôi đề nắp bồn sang bên cạnh.,aɪ pʊt ði /ˈkʌvəz/ əˈsaɪd
870,I scoop up the hot water with the washbowl.,Tôi múc nước nóng bằng một cái gáo.,aɪ skuːp ap ði hɒt ˈwoːtə with ði washbowl
871,I stir the hot water.,Tôi khuấy nước nóng.,aɪ stɜː ði hɒt ˈwoːtə
872,I pour the water on the body.,Tôi dội nước lên người.,aɪ pɔː ði ˈwoːtə ɒn ði ˈbɒdi
873,I put soap on a washcloth.,Tôi cho xà bông vào khăn tắm.,aɪ pʊt səʊp ɒn a washcloth
874,It lathers very well.,Nó có rất nhiều bọt.,it lathers very well
875,I wash my body.,Tôi tắm.,i wash my body
876,I scrub my legs.,Tôi kì chân.,i scrub my legs
877,I’m washing my right knee.,Tôi rửa chân phải.,i m washing my right knee
878,I rinse out my body.,Tôi tắm rửa thật sạch.,i rinse out mi ˈbɒdi
879,I soak in the bathtub.,Tôi ngâm mình vào bồn tắm.,aɪ /səʊk/ ɪn ði ˈbæθtʊb
880,I’m dozing off in the bathtub.,Tôi ngủ gật trong bồn tắm.,aɪ m dozing ɔːf ɪn ði ˈbæθtʊb
881,The hot water feels good.,Nước nóng thật dễ chịu,ði hɒt ˈwoːtə fiːlz ɡʊ(d)
882,I put back the tub covers.,Tôi đậy nắp bồn tắm lại.,aɪ pʊt bæk ði tʌb /ˈkʌvəz/
883,I wrap a bath towel around my body.,Tôi quấn khăn quanh người.,aɪ ɹæp æɪ bɐːθ taʊl əˈɹaʊnd mi ˈbɒdi
884,I get out of the bathroom.,Tôi đi ra khỏi phòng tắm.,aɪ ɡɛt æɔt ɔv ði ˈbæθ.ɹuːm
885,I turn on the lights.,Tôi bật điện.,aɪ /tɜːn/ ɒn ði laɪts
886,I push the switch.,Tôi ấn công tắc.,aɪ pʷʊʃ ði swɪtʃ
887,I stand in front of the washstand.,Tôi đứng trước bồn rửa mặt.,aɪ stænd ɪn fɹʌnt ɔv ði washstand
888,I reach for my toothbrush.,Tôi lấy bàn chải đánh răng.,aɪ ɹiːt͡ʃ for mi ˈtuːθbɹʌʃ
889,Two bottles of lotion are on the shelf.,Hai lọ sữa rửa mặt và gội đầu đang ở trên giá.,tuː ˈbɒtl̩z ɔv ˈləʊʃən ɛə ɒn ði ʃɛlf
890,I always put my toothbrush in my cup.,Tôi luôn để bàn chải đánh răng vào cốc của mình.,aɪ ˈɔː(l).weɪz pʊt mi ˈtuːθbɹʌʃ ɪn mi cup
891,I put water in the cup.,Tôi cho nước vào cốc.,i put water in the cup
892,I turn on the faucet.,Tôi mở vòi nước.,i turn on the faucet
893,I fill the cup with water.,Tôi đổ đầy nước vào cốc.,i fill the cup with water
894,I squeeze out the toothpaste on my toothbrush.,Tôi bóp kem đánh răng lên bàn chải.,i squeeze out the toothpaste on my toothbrush
895,The paste comes out from the tube.,Kem đánh răng đi ra từ tuýp kem.,ði peɪst kʌmz æɔt fɹɒm ði tjuːb
896,I brush my teeth.,Tôi đánh răng.,aɪ bɹʌʃ mi tiːθ
897,I brush my teeth after meals.,Tôi đánh răng sau mỗi bữa ăn.,aɪ bɹʌʃ mi tiːθ ˈæf.tə(ɹ) meals
898,I have no cavities.,Tôi không có lỗ răng sâu nào cả.,aɪ have nəʊ cavities
