stt,en,vi,ipa
501,Vegetables are good for my health.,Rau củ rất tốt cho sức khỏe của tớ.,ˈvɛd͡ʒtəbəlz ɛə ɡʊ(d) for mi hɛlθ
502,I turn head over heels.,Tớ lộn ngược.,aɪ /tɜːn/ hɛd /ˈəʊ.və(ɹ)/ hiːlz
503,Everything looks upside down.,Mọi thứ trông như bị đảo ngược.,ˈɛvɹiθɪŋ lʊks ˈʌpˌsaɪd daʊn
504,I am good at doing somersaults.,Tớ rất giỏi lộn nhào.,aɪ e̞m ɡʊ(d) at ˈduːɪŋ somersaults
505,I get up my myself.,Tớ tự đứng dậy.,aɪ ɡɛt ap mi maɪˈsɛlf
506,I dust off my bottom.,Tớ phủi mông.,aɪ dʌst ɔːf mi ˈbɒtəm
507,Somersaults are a piece of cake.,Lộn nhào thật dễ.,somersaults ɛə æɪ piːs ɔv keɪk
508,I push up my friend’s bottom.,Tớ đẩy mông bạn tớ.,aɪ pʷʊʃ ap mi fɹɛnd s bottom
509,I help him to do a somersault.,Tớ giúp cậu ấy lộn nhào.,i help him to do a somersault
510,He practices it many time.,Cậu ấy luyện tập rất nhiều lần.,he practices it many time
511,I skip rope ten times without stopping.,Tớ nhảy dây 10 lần liên tục mà không nghỉ.,i skip rope ten times without stopping
512,I won’t stop until twenty.,Tớ sẽ không dừng lại cho đến lần thứ 20.,i won t stop until twenty
513,I’m out of breath.,Tớ sắp hết hơi rồi.,aɪ m æɔt ɔv bɹɛθ
514,I stand in line.,Tớ đứng trong hàng.,aɪ stænd ɪn laɪn
515,I wait for my turn.,Tớ đợi đến lượt mình.,aɪ weɪt for mi /tɜːn/
516,Whose turn is it?,Đến lượt ai rồi nhỉ?,huːz /tɜːn/ is ɪt
517,I run and jump.,Tớ chạy và nhảy.,aɪ /ɹʊn/ and dʒʌmp
518,I jump as far as I can.,Tớ nhảy xa nhất có thể.,aɪ dʒʌmp ˈæs fɑː ˈæs aɪ ˈkæn
519,My classmate runs after me.,Bạn cùng lớp của tớ đang chạy sau tớ.,mi ˈklɑːs.meɪt ɹʌnz ˈæf.tə(ɹ) /miː/
520,I wash my hands.,Tớ rửa tay.,aɪ wɑʃ mi hæn(d)z
521,I put the soap on my hand.,Tớ cho xà phòng vào tay.,aɪ pʊt ði səʊp on my hand
522,The water is running down.,Nước đang chảy xuống.,the water is running down
523,I dry my hands with a towel.,Tớ lau tay khô bằng một chiếc khăn.,i dry my hands with a towel
524,I hang the towel.,Tớ phơi khăn lên.,i hang the towel
525,Now my hands are clean.,Giờ thì tay tớ đã sạch rồi.,now my hands are clean
526,I dig a tunnel through the watermelon.,Tớ khoét một cái lỗ trong quả dưa hấu.,i dɪɡ æɪ ˈtʌn(ə)l θɹuː ði ˈwɔːtəˌmɛlən
527,I dig it with a fork.,Tớ khoét bằng một cái dĩa.,aɪ dɪɡ ɪt with æɪ fɔːk
528,I take the seeds off too.,Tớ gẩy hết hạt dưa đi.,aɪ teɪk ði siːdz ɔːf tuː
529,I look through the hole.,Tớ nhìn qua cái lỗ.,aɪ look θɹuː ði /həʊl/
530,I’ll eat all of it by myself.,Tớ sẽ ăn hết chỗ này.,aɪ ll iːt ɔːl ɔv it by myself
531,I make a big hole.,Tớ khoét một cái lỗ rất to.,i make a big hole
532,I wear glasses.,Tớ đeo kính.,i wear glasses
533,They’re too big for me.,Nó quá to so với tớ.,they re too big for me
534,I have good eyesight.,Tớ có thị lực rất tốt.,i have good eyesight
535,I go to the zoo.,Tớ đi đến sở thú.,i go tʉː ði zuː
536,I go through the gate.,Tớ đi xuyên qua cổng.,aɪ ɡəʉ θɹuː ði ɡeɪt
537,I can see various animals at the zoo.,Tớ có thể nhìn thấy rất nhiều loại động vật khác nhau trong sở thú.,aɪ ˈkæn siː ˈvɛə.ɹi.əs ˈæn.ɪ.məlz at ði zuː
538,I take chocolate and cookies with me.,Tớ mang theo sô-cô-la và bánh quy.,aɪ teɪk ˈt͡ʃɔk(ə)lət and ˈkʊkiz with /miː/
539,I love sweets.,Tớ thích kẹo.,aɪ lʊv sweets
540,I take the sweets out of my bag.,Tớ lấy kẹo ra khỏi túi.,aɪ teɪk ði sweets æɔt ɔv my bag
541,I dance.,Tớ nhảy.,i dance
542,It’s exciting.,Nó rất thú vị.,it s exciting
543,My hair is swinging.,Tóc tớ đang đung đưa.,my hair is swinging
544,I put the books in my bag.,Tớ cho sách vào trong túi.,i put the books in my bag
545,I wear my school uniform.,Tớ mặc đồng phục của trường.,i wear my school uniform
546,I chek my bag every morning.,Tớ kiểm tra cặp sách mỗi buổi sáng.,aɪ chek mi ˈbæːɡ every ˈmɔːnɪŋ
547,I wake up at seven.,Tôi dậy vào lúc 7 giờ.,aɪ ˈweɪk ap at ˈsɛv.ən
548,The alarm clock goes off.,Đồng hồ báo thức đã tắt.,ði əˈlɑːm klɒk ɡəʊz ɔːf
549,Is it already time to get up?,Đã đến lúc phải dậy chưa?,is ɪt ɑlˈɹɛdi tɑem tʉː ɡɛt ap
550,I get out of bed.,Tôi ra khỏi giường.,aɪ ɡɛt æɔt ɔv bed
