stt,en,vi,ipa
251,I sprinkle some flour over the board.,Tớ rắc một ít bột mì lên tấm ván.,i sprinkle some ˈflaʊə /ˈəʊ.və(ɹ)/ ði bɔːd
252,It makes me tired.,Nhào bột khiến tớ rất mệt.,ɪt meɪks /miː/ taɪəd
253,I read a book.,Tớ đọc 1 cuốn sách.,aɪ ɹiːd æɪ buːk
254,It’s a very colorful picture book.,Nó là một cuốn sách rất nhiều màu.,ɪt s æɪ ˈvɛɹi ˈkʌləfəl ˈpɪktʃə buːk
255,I put my bear by my side.,Tớ để con gấu bông bên cạnh mình.,aɪ pʊt mi bɛə(ɹ) baɪ mi side
256,I go to see my friend.,Tớ đi gặp bạn của tớ.,i go to see my friend
257,He lives in the next town.,Cậu ấy sống ở thị trấn ngay cạnh.,he lives in the next town
258,What shall we play today?,Hôm nay chúng tớ nên chơi gì đây?,what shall we play today
259,I forgot my wallet.,Tớ quên ví mất rồi.,i forgot my wallet
260,I have to go back soon.,Tớ phải quay lại sớm.,i have to go back soon
261,I can’t take a bus without money.,Tớ không thể bắt xe buýt mà không có tiền được.,aɪ ˈkæn t teɪk æɪ bɐs wɪθˈʌʊt ˈmʌni
262,I draw the curtains.,Tớ kéo rèm.,aɪ dɹɔː ði ˈkɜː(ɹ).tənz
263,It’s getting dark.,Trời trở nên tối hơn.,ɪt s ˈɡɛɾɪŋ dɑːk
264,I see a lot of people going home.,Tớ nhìn thấy rất nhiều người đang trên đường về nhà.,aɪ siː æɪ lɒt ɔv ˈpiːpəl ˈɡəʊɪŋ (h)əʊm
265,I lock the door.,Tớ khóa cửa.,aɪ lɒk ði dɔː
266,I insert the key in the lock.,Tớ cho chìa khóa vào ổ khóa.,aɪ ɪnˈsɜːt ði kiː ɪn the lock
267,Don’t forget to lock the door before you go out.,Đừng quên khóa cửa trước khi bạn ra ngoài nhé.,don t forget to lock the door before you go out
268,I put coins into the ticket machine.,Tớ cho đồng xu vào máy bán vé.,i put coins into the ticket machine
269,I know how to get the ticket.,Tớ biết cách làm thế nào để lấy vé.,i know how to get the ticket
270,There are always so many people in the station.,Luôn luôn có rất nhiều người ở nhà ga (trạm).,there are always so many people in the station
271,I push the button.,Tớ ấn nút.,aɪ pʷʊʃ ði ˈbʌtn̩
272,"Then, the ticket comes out of the machine.",Sau đó tấm vé sẽ ra khỏi chiếc máy.,ðen ði ˈtɪkɪt kʌmz æɔt ɔv ði /məˈʃin/
273,I only have to pay half the price.,Tớ chỉ phải trả một nửa giá tiền thôi.,aɪ ˈəʊn.li have tʉː peɪ hɑːf ði pɹaɪs
274,I put the ticket in my pocket.,Tớ cho vé vào túi quần.,aɪ pʊt ði ˈtɪkɪt ɪn mi /ˈpɒkɪt/
275,I must remember where I put it.,Tớ phải nhớ nơi tớ để vé.,aɪ must ɹɪˈmɛmbə wɛə(ɹ) aɪ put it
276,I had my ticket punched.,Vé của tớ đã được đục lỗ.,i had my ticket punched
277,I run around in the train.,Tớ chạy vòng quanh trên tàu hỏa.,i run around in the train
278,Nobody sits here.,Không có ai ngồi ở đây cả.,nobody sits here
279,"Wow, it’s a lot of fun.","Ồ, thật nhiều điều thú vị.",wow it s a lot of fun
280,I get off the train.,Tớ ra khỏi tàu.,i get off ði tɹeɪn
281,I jump onto the platform.,Tớ nhảy lên sân ga.,aɪ dʒʌmp ˈɒn.tuː ði ˈplætfɔːm
282,The train is going to pull out.,Tàu sẽ chạy qua một bên.,ði tɹeɪn is ˈɡəʊɪŋ tʉː pʊl æɔt
283,I give my ticket to the station employee.,Tớ đưa vé cho nhân viên soát vé của nhà ga.,aɪ ɡɪv mi ˈtɪkɪt tʉː ði ˈsteɪʃən (ˌ)ɪm-
284,He wears a blue uniform.,Chú ấy mặc đồng phục màu xanh.,heɪː wɛəz æɪ bluː ˈjuːnɪfɔːm
285,I want to become a station employee too.,Tớ cũng muốn trở thành nhân viên nhà ga.,aɪ wɔnt tʉː bəˈkʊm æɪ station employee too
286,I wait for the flower to bloom.,Tớ chờ hoa nở.,i wait for the flower to bloom
287,It has a pink bulb.,Nó có nụ màu hồng.,it has a pink bulb
288,I planted seeds in this flower pot.,Tớ đã gieo hạt vào chiếc bình hoa này.,i planted seeds in this flower pot
289,I take the toy away from my friend.,Tớ giật đồ chơi khỏi tay bạn tớ.,i take the toy away from my friend
290,He wants to play with it too.,Cậu ấy cũng muốn chơi.,heɪː wɒnts tʉː pleɪ with ɪt tuː
291,He tries to get it back.,Cậu ấy cố gắng tìm cách lấy nó lại.,heɪː tɹaɪz tʉː ɡɛt ɪt bæk
292,I share my toy with Yukio.,Tớ chia sẻ đồ chơi với Yukio.,aɪ ʃɛə mi tɔɪ with yukio
293,We should be kind to friends.,Chúng ta nên tử tế với bạn bè.,wiː /ʃʊd/ be kaɪnd tʉː fɹɛn(d)z
294,He is glad.,Cậu ấy rất vui.,heɪː is ɡlæd
295,I play with blocks.,Tớ chơi với các khối xếp hình.,aɪ pleɪ with blɒks
296,I want to stack the blocks as tall as I am.,Tớ muốn xếp chồng các hình khối cao như tớ.,aɪ wɔnt tʉː stack the blocks as tall as i am
297,There’re many kinds of shapes of blocks.,Có rất nhiều hình khối có hình dạng khác nhau.,there re many kinds of shapes of blocks
298,I finish the puzzle.,Tớ đã xếp hình xong.,i finish the puzzle
299,I put the last piece in the center of it.,Tớ xếp mảnh ghép cuối cùng vào giữa bức tranh.,i put the last piece in the center of it
300,It turned out to be a purple car.,Nó đã trở thành một chiếc xe hơi màu tím.,it turned out to be æɪ ˈpɜː(ɹ).pəl kɑː
