stt,en,vi,ipa
751,They are little heavy.,Chúng hơi nặng một chút.,ðeɪ ɛə ˈlɪ.ɾɫ̩ ˈhe.vi
752,I go home.,Tôi đi về nhà.,aɪ go home
753,I open the cupboard.,Tôi mở cửa tủ chạn.,i open the cupboard
754,I take the dishes out of the cupboard.,Tôi lấy đĩa ra khỏi tủ.,i take the dishes out of the cupboard
755,I’m preparing for our lunch.,Tôi chuẩn bị bữa trưa.,i m preparing for our lunch
756,I put the groceries on the table.,Tôi để đồ lên trên bàn.,i put the groceries on the table
757,I roll up my sleeves.,Tôi xắn tay áo.,aɪ ɹəʊl ap mi sliːvz
758,I prepare all the ingredients.,Tôi chuẩn bị mọi nguyên liệu.,aɪ pɹɪˈpɛə ɔːl ði ingredients
759,I tap an egg on the table.,Tôi đập một quả trứng lên bàn.,aɪ tæp æn eɪɡ ɒn ði /ˈteɪbəl/
760,The egg has a crack in the shell.,Quả trứng có một vết nứt trên vỏ.,ði eɪɡ has æɪ kɹæk ɪn ði ʃɛl
761,Eggs break easily.,Trứng rất dễ vỡ.,eggs break easily
762,I break an egg into a bowl.,Tôi đập trứng vào bát.,i break an egg into a bowl
763,I hold the shells in my hands.,Tôi giữ vỏ trứng ở trong tay mình.,i hold the shells in my hands
764,I break it very well.,Tôi đập trứng rất giỏi.,i break it very well
765,I throw away the shells.,Tôi vứt vỏ trứng đi.,i throw away the shells
766,I put them in a garbage box.,Tôi bỏ chúng vào thùng rác.,aɪ pʊt /ðʌm/ ɪn æɪ ˈɡɑːbɪd͡ʒ /bɒks/
767,The sink is still clean.,Bồn rửa vẫn rất sạch sẽ.,ði sɪŋk is stɪl kleːn
768,I beat the egg.,Tôi đánh trứng.,aɪ biːt ði eɪɡ
769,Egg yolk and egg white is mixed.,Lòng đỏ và lòng trắng được trộn vào nhau.,eɪɡ jəʊk and eɪɡ waɪt is mɪkst
770,It becomes yellow.,Nó trở thành màu vàng.,ɪt bəˈkʌmz yellow
771,I pick up the onion.,Tôi lấy 1 củ hành.,i pick up the onion
772,I’ll mix the onions with the egg.,Tôi sẽ trộn hành với trứng.,i ll mix the onions with the egg
773,Onions have peels.,Hành có vỏ.,onions have peels
774,I peel the onion.,Tôi gọt vỏ hành.,i peel the onion
775,I throw the peels away.,Tôi vứt vỏ đi.,i throw the peels əˈweɪ
776,I cut it into small pieces.,Tôi thái hành thành những miếng nhỏ.,aɪ kʌt ɪt ˈɪn.tuː smoːl ˈpiːsɪz
777,I remove the seeds from the green pepper.,Tôi tách hạt ra khỏi trái ớt xanh.,aɪ ɹɪˈmuːv ði siːdz fɹɒm ði ɡɹiːn ˈpɛpə
778,There are many small seeds inside of the pepper.,Có rất nhiều hạt trong quả ớt.,ðeː(ɹ) ɛə ˈmæni smoːl siːdz ɪnˈsaɪd ɔv ði ˈpɛpə
779,I take out all of them.,Tôi lấy hết hạt ra khỏi quả ớt.,aɪ take out all of them
780,I mix the green pepper and the egg.,Tôi trộn ớt xanh và trứng.,i mix the green pepper and the egg
781,I continue mixing.,Tôi tiếp tục trộn.,i continue mixing
782,What shall I put in next?,Tôi nên cho gì vào tiếp đây?,what shall i put in next
783,I take the ham out of the pack.,Tôi lấy thịt hun khói ra khỏi túi.,i take the ham out of the pack
784,It’s already sliced.,Nó đã được thái sẵn rồi.,ɪt s ɑlˈɹɛdi sliced
785,I use a slice of ham.,Tôi dùng một miếng thịt hun khói.,aɪ use æɪ slaɪs ɔv ˈhæːm
786,I put the ham in the bowl.,Tôi bỏ thịt hun khói vào bát.,aɪ pʊt ði ˈhæːm ɪn ði bəʊɫ
787,I mix in all the ingredients.,Tôi trộn tất cả các nguyên liệu với nhau.,aɪ ˈmɪks ɪn ɔːl ði ingredients
788,I add salt and pepper last.,Cuối cùng tôi cho thêm muối và tiêu vào.,aɪ æd salt and pepper last
789,I stir the egg.,Tôi khuấy đều trứng lên.,i stir the egg
790,I only have to fry it.,Tôi chỉ việc rán nó nữa thôi.,i only have to fry it
791,I make an omelet.,Tôi làm món trứng tráng.,i make an omelet
792,I turn on the gas.,Tôi bật bếp gas.,i turn on the gas
793,I turn up the flame.,Tôi bật lửa lên.,i turn up the flame
794,It’s hot around the stove.,Quanh bếp rất nóng.,ɪt s hɒt əˈɹaʊnd ði stəʊv
795,I turn down the flame.,Tôi hạ lửa.,aɪ /tɜːn/ daʊn ði fleɪm
796,I put the pan on the stove.,Tôi cho chảo lên bếp.,aɪ pʊt ði pæn ɒn ði stəʊv
797,Then I heat the pan.,Tôi làm nóng chảo.,ðen aɪ hit ði pæn
798,I put some butter in a pan.,Tôi cho 1 chút bơ vào chảo.,aɪ pʊt sɐm ˈbʊtə ɪn æɪ pæn
799,It melts fast.,Nó tan ra rất nhanh.,ɪt melts fɑːst
800,I spread it in the pan.,Tôi tản đều quanh chảo.,aɪ spɹɛd ɪt ɪn ði pæn
