stt,en,vi,ipa
1,I get up.,Tớ thức dậy.,aɪ ɡɛt ap
2,I’m yawning.,Tớ đang ngáp.,aɪ m yawning
3,I’m sleepy.,Tớ đang buồn ngủ.,aɪ m ˈsliːpi
4,I wash my face.,Tớ rửa mặt.,aɪ wɑʃ mi feɪs
5,The water is cold.,Nước rất lạnh.,ði ˈwoːtə is kɔʊld
6,I can’t open my eyes.,Tớ không thể mở mắt.,aɪ ˈkæn t ˈəʊ.pən mi aɪz
7,I drink some milk.,Tớ uống 1 chút sữa.,aɪ dɹɪŋk sɐm mɛlk
8,I like milk.,Tớ thích sữa.,aɪ laɪk mɛlk
9,I eat toast.,Tớ ăn bánh mì nướng.,aɪ iːt təʊst
10,I wipe my mouth.,Tớ lau miệng.,aɪ waɪp mi mʌʊθ
11,The toast and the milk are good.,Bánh mì nướng và sữa rất ngon.,ði təʊst and ði mɛlk ɛə ɡʊ(d)
12,I’m getting full.,Tớ no rồi.,aɪ m ˈɡɛɾɪŋ fʊl
13,I take off my pajamas.,Tớ cởi quần áo ngủ.,aɪ teɪk off my pajamas
14,I finish my breakfast.,Tớ đã ăn sáng xong.,i finish my breakfast
15,What shall I wear?,Tớ nên mặc gì đây?,what shall i wear
16,I put on my clothes.,Tớ mặc quần áo.,i put on my clothes
17,I wear my underpants.,Tớ mặc quần chíp.,i wear my underpants
18,I can’t see anything now.,Lúc này tớ không thể nhìn thấy gì cả.,i can t see anything now
19,I put on my pink blouse.,Tớ mặc chiếc áo hồng.,aɪ pʊt ɒn mi pɪŋk blaʊs
20,I button up my blouse.,Tớ cài cúc áo.,aɪ ˈbʌtn̩ ap mi blaʊs
21,This blouse has three buttons.,Chiếc áo này có 3 cái cúc.,ðəs blaʊs has θɹiː ˈbʌtn̩z
22,I put on my green skirt.,Tớ mặc chiếc váy xanh lá cây.,aɪ pʊt ɒn mi ɡɹiːn skɜːt
23,This is my favorite skirt.,Đây là chiếc váy tớ thích.,ðəs is mi ˈfeɪv.ɹɪt skɜːt
24,Do I look pretty?,Trông tớ có xinh không?,dʉː aɪ look pretty
25,I look at some pretty flowers.,Tớ ngắm một vài bông hoa đẹp.,i look at some pretty flowers
26,They smell good.,Chúng rất thơm.,they smell good
27,Mommy takes care of these flowers.,Mẹ chăm sóc những bông hoa này.,mommy takes care of these flowers
28,I pour some misosoup over rice.,Tớ chan súp miso (canh tương) lên cơm.,i pour some misosoup over rice
29,Mommy doesn’t like me to do so.,Mẹ không thích tớ làm như vậy.,mommy doesn t like me to dʉː səʊ
30,I spill my miso soup.,Tớ làm súp tràn ra ngoài.,aɪ spɪl mi ˈmiːsəʊ suːp
31,I walk.,Tớ đi bộ.,aɪ wɔːk
32,I walk to school.,Tớ đi bộ đến trường.,aɪ wɔːk tʉː skuːl
33,I wear my green shoes.,Tớ đi đôi giầy màu xanh lá.,aɪ wɛə mi ɡɹiːn ʃuːz
34,I water the flowers.,Tớ tưới hoa.,aɪ ˈwoːtə ði ˈflaʊ.əz
35,Tulips are colorful.,Hoa tuy-lip rất sặc sỡ.,tulips ɛə ˈkʌləfəl
36,I use my watering can.,Tớ dùng bình tưới hoa của mình.,aɪ use mi watering ˈkæn
37,I water the garden.,Tớ tưới nước cho khu vườn.,aɪ ˈwoːtə ði ˈɡɑːdn̩
38,I fill my watering can.,Tớ lấy đầy nước vào bình.,aɪ fɪl mi watering ˈkæn
39,It’s hot today.,Hôm nay trời nóng.,ɪt s hɒt təˈdeɪ
40,I swim in the ocean.,Tớ bơi ở biển.,aɪ swɪm ɪn ði ocean
41,I wear my swimsuit and bathing cap.,Tớ mặc bộ đồ bơi và mũ tắm.,i wear my swimsuit and bathing cap
42,I can swim very well.,Tớ có thể bơi rất tốt.,i can swim very well
43,I eat ice cream.,Tớ ăn kem.,i eat ice cream
44,I’m hot.,Tớ thấy nóng.,i m hot
45,I’m sweating.,Tớ đang đổ mồ hôi.,i m sweating
46,I turn on the water.,Tớ mở nước.,aɪ tɜːn ɒn ði ˈwoːtə
47,I run the water.,Tớ cho nước chảy.,aɪ ɹʊn ði ˈwoːtə
48,I look at the water running.,Tớ nhìn nước chảy.,aɪ look at ði ˈwoːtə ˈɹʌnɪŋ
49,I turn off the water.,Tớ khóa nước lại.,aɪ tɜːn ɔːf ði ˈwoːtə
50,I save water.,Tớ tiết kiệm nước.,aɪ seɪv ˈwoːtə
