stt,en,vi,ipa
201,My slippers come off.,Dép của tớ trượt cả ra khỏi chân.,mi slippers kʌm ɔːf
202,I take my dishes to the sink.,Tớ mang đĩa chén đến bồn rửa.,aɪ teɪk mi ˈdɪʃɪz tʉː ði sink
203,I hold them with both hands.,Tớ cầm chúng bằng cả hai tay.,i hold them with both hands
204,I walk very carefully.,Tớ đi rất cẩn thận.,i walk very carefully
205,I carry the stool.,Tớ mang cái ghế đẩu ra.,i carry the stool
206,It’s not so heavy.,Nó không nặng lắm.,it s not so heavy
207,"Now, I’m going to do the dishes.",Bây giờ tớ sẽ rửa chén đĩa.,now i m going to do the ˈdɪʃɪz
208,I go for a walk.,Tớ đi dạo bộ.,aɪ ɡəʉ for æɪ /wɔːk/
209,I feel happy.,Tớ cảm thấy vui.,aɪ fiːl /ˈhæpiː/
210,I like going out.,Tớ thích đi ra ngoài.,aɪ laɪk ˈɡəʊɪŋ æɔt
211,I go to the park.,Tớ đi đến công viên.,aɪ ɡəʉ tʉː ði paːk
212,It’s my favorite place.,Đó là địa điểm yêu thích của tớ.,ɪt s mi ˈfeɪv.ɹɪt pleɪs
213,The gate is made of stone.,Cổng được làm bằng đá.,ði ɡeɪt is meɪd ɔv stɐʉn
214,I look for good.,Tớ tìm đồ.,aɪ look for ɡʊ(d)
215,I open my bag.,Tớ mở túi của mình ra.,aɪ /ˈəʊ.pən/ mi ˈbæːɡ
216,I brought some sweets.,Tớ đã mang theo vài viên kẹo.,aɪ bɹɔːt sɐm sweets
217,I slide down the slide.,Tớ trượt cầu.,aɪ slaɪd daʊn ði slide
218,The slide is in the shape of an elephant.,Chiếc cầu trượt có hình con voi.,the slide is in the shape of an elephant
219,It’s a lot of fun.,Thật là nhiều niềm vui.,it s a lot of fun
220,I see yellow flowers.,Tớ nhìn thấy những bông hoa màu vàng.,i see yellow flowers
221,They are yellow tulips.,Chúng là những bông hoa tuy-lip màu vàng.,they are yellow tulips
222,I count them.,Tớ đếm chúng.,i count them
223,I pick flowers.,Tớ hái hoa.,aɪ pɪk ˈflaʊ.əz
224,I want to give them to Mommy.,Tớ muốn tặng hoa cho mẹ.,aɪ wɔnt tʉː ɡɪv /ðʌm/ tʉː mommy
225,Mommy will be glad.,Mẹ sẽ rất vui.,mommy wɪl be ɡlæd
226,I hold Mommy’s hand.,Tớ cầm tay mẹ.,aɪ həʊld mommy s hænd
227,Her hand is warm.,Tay mẹ rất ấm.,ə(ɹ) hænd is wɔːm
228,We go shopping.,Tớ và mẹ đi mua sắm.,wiː ɡəʉ ˈʃɒpɪŋ
229,I hurt my knee.,Tớ làm đau đầu gối.,aɪ hɜːt mi niː
230,I tripped over a stone.,Tớ vấp phải một hòn đá.,aɪ tɹɪpt /ˈəʊ.və(ɹ)/ æɪ stɐʉn
231,It hurts a lot.,Nó rất đau.,ɪt hɜːts æɪ lɒt
232,I eat ozoni.,Tớ ăn súp ozoni.,aɪ iːt ozoni
233,It’s yummy.,Nó rất ngon.,ɪt s ˈjʌm.i
234,I can use my chopsticks well.,Tớ có thể dùng đũa rất thành thạo.* Ozoni: một một súp truyền thống của Nhật Bản.,aɪ ˈkæn use mi chopsticks wɛl
235,"I put flour, water and eggs in the bowl.","Tớ cho bột mì, nước và trứng vào trong 1 cái bát.",aɪ pʊt ˈflaʊə ˈwoːtə and ɛɡz ɪn ði bowl
236,I’m breaking an egg.,Tớ đập một quả trứng.,i m breaking an egg
237,I’m a good cook.,Tớ là một người nấu ăn giỏi.,i m a good cook
238,I stir them.,Tớ khuấy chúng lên.,i stir them
239,I use a whisk.,Tớ dùng một cái máy đánh trứng.,i use a whisk
240,I need much power to stir them.,Tớ cần dùng nhiều sức để khuấy.,i need much power to stir them
241,I add a pinch of salt.,Tớ bỏ thêm một chút muối.,aɪ æd æɪ pɪntʃ ɔv sɔlt
242,The salt is in a green pot.,Muối ở trong cái lọ màu xanh.,ði sɔlt is ɪn æɪ ɡɹiːn /pɒt/
243,I season with salt.,Tớ thêm muối vào.,aɪ /ˈsiːzən/ with sɔlt
244,I ladle the batter.,Tớ múc bột. (batter: bột nhão).,aɪ ˈleɪ.dəl ði /ˈbætə(ɹ)/
245,I scoop it with a spoon.,Tớ múc bằng một cái thìa.,aɪ skuːp ɪt with æɪ spuːn
246,I have to be careful not to put in too much batter.,Tớ phải cẩn thận không cho quá nhiều bột vào.,aɪ have tʉː be careful not to put in too much batter
247,I turn it over.,Tớ dốc ngược bột xuống.,i turn it over
248,It is mixed well.,Nó được trộn rất kĩ rồi.,it is mixed well
249,It became a lump.,Nó đã trở thành một cục bột.,it became a lump
250,I knead it.,Tớ nhào/ nặn cục bột.,i knead it
