stt,en,vi,ipa
151,I ride a horse.,Tớ cưỡi ngựa.,aɪ ɹaɪd æɪ hɔːs
152,The horse is big.,Tớ ngựa rất to.,ði hɔːs is bɪɡ
153,I enjoy riding.,Tớ thích cưỡi ngựa.,aɪ ənˈd͡ʒɔɪ ˈɹaɪdɪŋ
154,I light a match.,Tớ quẹt 1 que diêm.,aɪ lʌɪt æɪ mæt͡ʃ
155,The match is burning.,Que diêm đang cháy.,ði mæt͡ʃ is bɜːnɪŋ
156,It’s hot.,Nó nóng.,ɪt s hɒt
157,I put a candle down.,Tớ đặt một ngọn nến xuống.,aɪ pʊt æɪ ˈkændl̩ daʊn
158,I hold it with my right hand.,Tớ cầm nó bằng tay phải.,aɪ həʊld ɪt with mi /ˈɹaɪt/ hænd
159,I squat down.,Tớ ngồi xuống .(squat: ngồi xổm),aɪ squat daʊn
160,I put trash into the trash can.,Tớ bỏ ra vào thùng rác.,aɪ pʊt tɹæʃ ˈɪn.tuː ði tɹæʃ can
161,Don’t litter the room.,Đừng làm vương vãi ra phòng nhé.,don t litter the room
162,It already has some trash.,Có một ít rác ở trong thùng rác rồi.,it already has some trash
163,I play ring toss.,Tớ chơi ném vòng.,i play ring toss
164,I throw the blue ring.,Tớ ném vòng màu xanh.,i throw the blue ring
165,I throw the red one on successfully.,Tớ đã ném trúng vòng màu đỏ.,i throw the red one on successfully
166,I sleep in my bed.,Tớ ngủ trên giường.,aɪ sliːp ɪn mi bed
167,My quilt is a yellow one with green dots.,Chăn của tớ là chăn màu vàng chấm bi xanh.,mi kwɪlt is æɪ jɛlə wan with ɡɹiːn dots
168,I’m Superman in my dream.,Trong giấc mơ tớ là siêu nhân.,aɪ m /ˈs(j)uːpəmæn/ ɪn mi dɹiːm
169,I go to the bathroom.,Tớ vào phòng tắm.,aɪ ɡəʉ tʉː ði ˈbæθ.ɹuːm
170,I’m wee-weeing.,Tớ đi tè.,aɪ m wiː weeing
171,I rub my eye.,Tớ rụi mắt.,aɪ ɹʌb mi aɪ
172,I take my pants down.,Tớ kéo quần xuống.,aɪ teɪk mi /pænts/ daʊn
173,I bend down.,Tớ cúi xuống.,aɪ bɛnd daʊn
174,I put my pants on the floor.,Tớ để quần ở trên sàn.,aɪ pʊt mi /pænts/ ɒn the floor
175,I sit on the potty.,Tớ ngồi trên cái bô.,i sit on the potty
176,I put my hands on my knees.,Tớ đặt tay trên đầu gối.,i put my hands on my knees
177,I want to poo-poo.,Tớ muốn đi ị.,i want to poo poo
178,I make poo-poo.,Tớ đi ị.,i make poo poo
179,I strain.,Tớ rặn.,i strain
180,I make grimaces.,Tớ nhăn mặt.,aɪ meɪk grimaces
181,I wipe my fanny.,Tớ lau sạch sẽ.,aɪ waɪp mi ˈfæni
182,I tear off some toilet paper.,Tớ xé một ít giấy vệ sinh.,aɪ tear ɔːf sɐm ˈtɔɪ.lət ˈpeɪpə
183,I can do it by myself.,Tớ có thể tự làm việc này.,aɪ ˈkæn dʉː ɪt baɪ maɪˈsɛlf
184,I flush the toilet.,Tớ xả bồn cầu.,aɪ ˈflʌʃ ði ˈtɔɪ.lət
185,"Pew, it stinks.","Eo, nó rất hôi.",pjuː ɪt stinks
186,The water goes down.,Nước chảy xuống dưới.,ði ˈwoːtə ɡəʊz daʊn
187,I put away my pajamas.,Tớ cởi bộ đồ ngủ.,aɪ pʊt əˈweɪ mi pəˈd͡ʒæ.məz
188,I have a bag for my pajamas.,Tớ có túi đựng đồ ngủ.,aɪ have æɪ ˈbæːɡ for mi pajamas
189,I change my clothes.,Tớ thay quần áo.,i change my clothes
190,I button my shirt.,Tớ cài cúc áo.,i button my shirt
191,I wear my green striped shirt.,Tớ mặc chiếc áo sọc xanh.,i wear my green striped shirt
192,Does it suit me?,Trông nó có hợp với tớ không?,does it suit me
193,I pass the butter.,Tớ bỏ bơ sang một bên.,i pass the butter
194,I eat a fried egg and two sausages.,Tớ ăn trứng rán và hai cái xúc xích.,i eat a fried egg and two sausages
195,I also drink some milk.,Tớ cũng uống một chút sữa nữa.,i also drink some milk
196,I spill some milk.,Tớ làm đổ một ít sữa ra ngoài.,i spɪl sɐm mɛlk
197,My elbow hit my cup.,Khuỷu tay của tớ chạm vào cốc.,mi ˈɛl.bəʊ hɪt mi kʌp
198,I made a mess again.,Tớ lại làm mọi thứ bừa bãi rồi.,aɪ meɪd æɪ mɛs əˈɡeɪn
199,I get the rag.,Tớ lấy giẻ lau.,aɪ ɡɛt ði ɹæɡ
200,I have to wipe the table.,Tớ phải lau bàn.,aɪ have tʉː waɪp ði /ˈteɪbəl/
