stt,en,vi,ipa
451,I ask Mommy.,Tớ hỏi mẹ.,i ask mommy
452,She is reading a magazine.,Mẹ đang đọc báo.,ʃiː is ˈɹidiŋ æɪ mæɡəˈziːn
453,She knows a lot of things.,Mẹ biết rất nhiều điều.,ʃiː nəʊz æɪ lɒt ɔv θɪŋz
454,I put on my make-up.,Tớ trang điểm.,aɪ pʊt ɒn mi meɪk ap
455,I put some lipstick on my lips.,Tớ tô son.,aɪ pʊt sɐm ˈlɪpˌstɪk ɒn mi lɪps
456,I mess up the room with cosmetics.,Tớ làm phòng bừa bộn với đồ mĩ phẩm của mình.,aɪ mɛs ap ði ɹuːm with cosmetics
457,I imitate the sumo wrestler.,Tớ bắt chước theo võ si sumo.,aɪ ˈɪmɪteɪt ði sumo wrestler
458,He is fat.,Chú ấy rất béo.,he is fat
459,He looks strong.,Chú ấy trông rất khỏe.,he looks strong
460,I pile up the blocks.,Tớ xếp hình khối.,i pile up the blocks
461,I put the tringle block on top of it.,Tớ đặt hình tam giác lên trên cùng.,i put the tringle block on top of it
462,I pick the blocks from the box.,Tớ nhặt các khối hình từ hộp ra.,i pick the blocks from ði /bɒks/
463,I make a story house.,Tớ xếp thành một ngôi nhà.,aɪ meɪk æɪ ˈstɔː.ɹi hʌʊs
464,It’s a big colorful house.,Đó là một ngôi nhà rất nhiều sắc màu.,ɪt s æɪ bɪɡ ˈkʌləfəl hʌʊs
465,I want to live in such a house.,Tớ muốn sống trong một ngôi nhà như vậy.,aɪ wɔnt tʉː lɪv ɪn sʌt͡ʃ æɪ hʌʊs
466,I reach for a block.,Tớ với lấy khối hình.,aɪ ɹiːt͡ʃ for æɪ /blɒk/
467,The block is rolling on.,Khối hình đang lăn đi.,ði /blɒk/ is ˈɹəʊlɪŋ ɒn
468,I crawl to get it.,Tớ bò theo để lấy nó.,aɪ kɹɔl to get it
469,I put three marbles under the number 3.,Tớ đặt ba viên bi dưới số 3.,i put three marbles under the number
470,There are numbers 1 to 5 on the paper.,Có các số đếm từ 1 đến 5 trên tờ giấy.,there are numbers to on the paper
471,I study Math.,Tớ học Toán.,i study math
472,I count the marbles.,Tớ đếm những viên bi.,i count the marbles
473,There are ten marbles on the table.,Có 10 viên bi trên bàn.,there are tɛn marbles ɒn ði /ˈteɪbəl/
474,I put five marbles in each line.,Tớ xếp mỗi hàng 5 viên bi.,aɪ pʊt fɑev marbles ɪn iːt͡ʃ laɪn
475,I write on the board.,Tớ viết lên bảng.,aɪ ɹaɪt ɒn ði bɔːd
476,I write with a piece of chalk.,Tớ viết bằng một mẩu phấn.,aɪ ɹaɪt with æɪ piːs ɔv t͡ʃɔːk
477,I write it large.,Tớ viết thật to.,aɪ write it large
478,I fall off the stool.,Tớ ngã khỏi ghế.,i fall off the stool
479,I lost my balance.,Tớ bị mất thăng bằng.,i lost my balance
480,Help me!,Giúp tớ với!,help me
481,I study about shapes.,Tớ học về hình dạng.,i study about shapes
482,I’m gazing at the blue block.,Tớ nhìn chằm chằm vào hình màu xanh.,i m gazing at the blue block
483,Where should I put it?,Tớ nên đặt nó vào đâu?,wɛə(ɹ) /ʃʊd/ aɪ pʊt ɪt
484,I match the shapes.,Tớ ghép các hình khối cho khớp.,aɪ mæt͡ʃ ði ʃeɪps
485,I finished.,Tớ đã hoàn thành.,aɪ ˈfɪnɪʃt
486,I’m sastisfied.,Tớ rất hài lòng.,aɪ m sastisfied
487,I say the color of each card.,Tớ đọc màu của mỗi tấm thẻ.,aɪ seɪ ði ˈkʌl.ə(ɹ) ɔv iːt͡ʃ kaːd
488,I have 5 pieces of paper on the table.,Tớ có 5 tấm thẻ trên bàn.,aɪ have ˈpiːsɪz ɔv ˈpeɪpə ɒn ði /ˈteɪbəl/
489,"They are red, purple, green, blue and yellow.","Chúng là đỏ, tím, xanh lá cây, xanh dương, và vàng.",ðeɪ ɛə ɹɛd ˈpɜː(ɹ).pəl ɡɹiːn blue and yellow
490,I go get my lunch.,Tớ đi lấy bữa trưa.,i go get my lunch
491,I’m very hungry.,Tớ đang rất đói.,i m very hungry
492,I hope it is a hot dog.,Tớ hi vọng đó là món bánh mì kẹp xúc xích.,i hope it is a hot dog
493,I get older.,Tớ lớn hơn rồi.,i get older
494,I was cute when I was a baby.,Khi còn nhỏ tớ rất đáng yêu.,i was cute when i was æɪ ˈbeɪbi
495,I remember things when I was in Mommy’s tummy.,Tớ nhớ cả những điều khi còn ở trong bụng mẹ.,aɪ ɹɪˈmɛmbə θɪŋz ʍɛn aɪ was ɪn mommy s ˈtʌm.i
496,I go to school.,Tớ đi học.,aɪ ɡəʉ tʉː skuːl
497,I wear my yellow cap.,Tớ đội chiếc mũ lưỡi trai màu vàng.,aɪ wɛə mi jɛlə kæp
498,I carry my schoolbag on my back.,Tớ đeo cặp trên lưng.,aɪ ˈkæ.ɹi mi schoolbag ɒn mi bæk
499,I eat salad.,Tớ ăn rau trộn.,aɪ iːt ˈsæləd
500,I am about to eat a piece of tomato.,Tớ sẽ ăn một miếng cà chua.,aɪ e̞m əˈbɛʊt tʉː iːt æɪ piece of tomato
