stt,en,vi,ipa
51,Water is important.,Nước rất quan trọng.,ˈwoːtə is ɪmˈpɔːtənt
52,I put some soap in the washing machine.,Tớ đổ một chút xà phòng vào máy giặt.,aɪ pʊt sɐm səʊp ɪn ði ˈwɒʃɪŋ məˈʃin
53,I put in too much soap.,Tớ lỡ đổ quá nhiều xà phòng.,aɪ pʊt ɪn tuː mʌt͡ʃ səʊp
54,I do the laundry.,Tớ giặt đồ,aɪ dʉː ði ˈlɑn.dɹi
55,I put in dirty clothes.,Tớ cho quần áo bẩn vào.,aɪ pʊt ɪn ˈdɜːti kləʊ(ð)z
56,There are so many dirty clothes.,Có rất nhiều quần áo bẩn.,ðeː(ɹ) ɛə səʊ ˈmæni ˈdɜːti kləʊ(ð)z
57,I shouldn’t put in many clothes.,Tớ không nên cho quá nhiều quần áo vào máy giặt.,aɪ shouldn t pʊt ɪn ˈmæni clothes
58,I turn on the switch.,Tớ bật công tắc.,i turn on the switch
59,The washing machine starts working.,Máy giặt bắt đầu hoạt động.,the washing machine starts working
60,It’s noisy.,Nó rất ồn.,it s noisy
61,I wash the clothes with soap.,Tớ giặt quần áo với xà phòng.,i wash the clothes with soap
62,I wash some clothes by myself.,Tớ tự giặt một ít quần áo.,i wash some clothes by myself
63,I make a lather.,Tớ tạo ra bọt xà phòng.,aɪ meɪk æɪ ˈlæ.ðə(ɹ)
64,I rinse the clothes.,Tớ giũ quần áo.,aɪ ɹɛns ði kləʊ(ð)z
65,They are getting clean.,Quần áo sạch hơn rồi.,ðeɪ ɛə ˈɡɛɾɪŋ kleːn
66,I have to wring the water out of them.,Tớ phải vắt kiệt nước khỏi quần áo.,aɪ have tʉː ɹɪŋ ði ˈwoːtə æɔt ɔv ðʌm
67,I talk with Mommy.,Tớ nói chuyện với mẹ.,aɪ toːk with mommy
68,I carry the washing basket.,Tớ xách chiếc giỏ đựng quần áo.,aɪ ˈkæ.ɹi ði ˈwɒʃɪŋ basket
69,I help Mommy.,Tớ giúp đỡ mẹ.,i help mommy
70,I hang the washing out.,Tớ phơi quần áo.,i hang the washing out
71,I’m standing on the stool.,Tớ đứng trên chiếc ghế đẩu.,i m standing on the stool
72,I put clothes pins on the clothes.,Tớ kẹp những chiếc ghim vào quần áo.,i put clothes pins on the clothes
73,I smooth it down.,Tớ kéo phẳng quần áo.,i smooth it daʊn
74,It will remove the wrinkles.,Nó sẽ làm các vết nhàu biến mất.,ɪt wɪl ɹɪˈmuːv ði wrinkles
75,I’m standing on tiptoes.,Tớ đang đứng trên mũi chân của mình.,aɪ m ˈstændɪŋ ɒn tiptoes
76,I hand a ladle to Mommy.,Tớ đưa cho mẹ một cái muỗng canh.,aɪ hænd æɪ ˈleɪ.dəl tʉː mommy
77,I help Mommy to cook.,Tớ giúp mẹ nấu ăn.,aɪ hɛlp mommy tʉː kuːk
78,We make lunch together.,Hai mẹ con tớ cùng nhau nấu bữa trưa.,wiː meɪk lʌnt͡ʃ together
79,I make noodles.,Tớ nấu mì.,i make noodles
80,I make the dough thinner.,Tớ làm cho bột mỏng hơn.,i make the dough thinner
81,I use the rolling pin.,Tớ dùng cây lăn bột.,i use the rolling pin
82,I leave the table.,Tớ rời khỏi bàn.,i leave the table
83,I finish setting the table.,Tớ đã sắp xếp bàn ăn xong.,i finish setting the table
84,Lunch is ready.,Bữa trưa đã sẵn sàng.,lʌnt͡ʃ is ˈɹɛdi
85,I finish my bowl.,Tớ đã ăn xong phần của mình.,aɪ ˈfɪnɪʃ mi bəʊɫ
86,It’s very tasty.,Nó rất ngon.,ɪt s ˈvɛɹi ˈteɪsti
87,I like noodles.,Tớ thích ăn mì.,aɪ laɪk ˈnuːd(ə)lz
88,I take a nap.,Tớ nghỉ trưa.,aɪ teɪk æɪ nap
89,My cat takes a nap too.,Mèo của tớ cũng nghỉ trưa.,mi kat teɪks æɪ nap tuː
90,I put a blanket on my tummy.,Tớ đắp chăn lên bụng của mình.,aɪ pʊt æɪ ˈblæŋkɪt ɒn mi ˈtʌm.i
91,I go into my room.,Tớ đi vào phòng mình.,aɪ ɡəʉ ˈɪn.tuː mi ɹuːm
92,I open the door.,Tớ mở cửa.,aɪ ˈəʊ.pən ði dɔː
93,I have a soccer ball in my room.,Tớ có 1 quả bóng đá trong phòng của mình.,aɪ have æɪ soccer ball in my room
94,I change my shirt.,Tớ thay áo.,i change my shirt
95,It’s a purple shirt with black stripes.,Đó là một chiếc áo tím kẻ sọc.,it s a purple shirt with black stripes
96,I feel nice with the clean shirt.,Tớ cảm thấy dễ chịu với chiếc áo sạch sẽ.,i feel nice with the clean shirt
97,I play with water.,Tớ nghịch nước.,i play with water
98,There is a yatch and a ship in my basin.,Có một chiếc thuyền và một chiếc tàu ở trong bồn nước của tớ.,ðeː(ɹ) is æɪ yatch and æɪ ʃɪp ɪn mi ˈbeɪsɪn
99,It’s fun to play with a water pistol.,Thật thú vị khi chơi với một khẩu súng nước.,ɪt s fʊn tʉː pleɪ with æɪ ˈwoːtə ˈpɪstəl
100,I watch out for cars.,Tớ để ý những chiếc xe hơi.,aɪ wɒt͡ʃ æɔt for ˈkɑːz
