stt,en,vi,ipa
601,I get on the elevator.,Tôi vào thang máy.,aɪ ɡɛt ɒn ði ˈɛl.ə.veɪ.tɚ
602,I arrive at the office.,Tôi đi đến văn phòng.,aɪ əˈɹaɪv at ði /ˈɑfɪs/
603,The door is closing.,Cánh cửa đang đóng lại.,ði dɔː is ˈkləʊzɪŋ
604,I enter the office.,Tôi bước vào văn phòng.,aɪ ˈɛntə(ɹ) ði /ˈɑfɪs/
605,I turn the door knob.,Tôi vặn khóa cửa.,aɪ /tɜːn/ ði dɔː nɒb
606,I greet my coworkers.,Tôi chào hỏi đồng nghiệp.,aɪ ɡɹiːt mi coworkers
607,I open my desk drawer.,Tôi mở ngăn khéo bàn.,aɪ /ˈəʊ.pən/ mi dɛsk dɹɔː(ɹ)
608,I look for my pen.,Tôi tìm chiếc bút.,aɪ look for mi pɛn
609,I put my stationery in order.,Tôi để đồ dùng văn phòng theo thứ tự.,aɪ pʊt mi ˈsteɪʃ(ə)n(ə)ɹi ɪn /ˈɔːdə/
610,I type a letter.,Tôi soạn một lá thư.,aɪ taɪp æɪ -ɾə(ɹ)
611,I can type fast.,Tôi có thể đánh máy rất nhanh.,aɪ ˈkæn taɪp fɑːst
612,I’m a good secretary.,Tôi là một thư kí giỏi.,aɪ m æɪ ɡʊ(d) ˈsɛk.ɹə.tɹi
613,I hail a taxi.,Tôi gọi một chiếc taxi.,aɪ heɪl æɪ ˈtæk.si
614,I finish my work.,Tôi đã làm xong việc.,aɪ ˈfɪnɪʃ mi wɜːk
615,I leave the office.,Tôi rời văn phòng.,aɪ /liːv/ ði /ˈɑfɪs/
616,I give the taxi driver directions to the restaurant.,Tôi chỉ cho tài xế taxi đường đến nhà hàng.,aɪ ɡɪv ði ˈtæk.si ˈdɹaɪ.və(ɹ) daɪˈɹɛk.ʃənz tʉː ði ˈɹɛs.t(ə).ɹ(ə)nt
617,I get on taxi.,Tôi lên taxi.,aɪ ɡɛt ɒn ˈtæk.si
618,The taxi driver is nice.,Tài xế taxi rất tốt bụng.,ði ˈtæk.si ˈdɹaɪ.və(ɹ) is nice
619,I walk into the restaurant.,Tôi bước vào nhà hàng.,i walk into the restaurant
620,The waitress guides me to the seat.,Người bồi bàn chỉ tôi chỗ ngồi.,the waitress guides me to the seat
621,She holds a menu.,Cô ấy đang cầm một bảng thực đơn.,she holds a menu
622,I sit down and look at the menu.,Tôi ngồi xuống và nhìn vào thực đơn.,i sit down and look at the menu
623,The waitress served a glass of water and a towel first.,Người bồi bàn phục vụ tôi một cốc nước và một chiếc khăn.,ði waitress sɜːvd æɪ ɡlɑːs ɔv ˈwoːtə and æɪ taʊl fɪrst
624,What shall I have?,Tôi nên ăn gì đây?,wɔt /ˈʃæl/ aɪ have
625,I order a drink.,Tôi gọi đồ uống.,aɪ /ˈɔːdə/ æɪ dɹɪŋk
626,I give my order to the waitress.,Tôi bảo cho người bồi bàn đồ uống tôi muốn dùng.,aɪ ɡɪv mi /ˈɔːdə/ tʉː ði waitress
627,I’ll give a soda.,Tôi sẽ uống soda.,i ll give a soda
628,I order my dinner.,Tôi gọi đồ ăn cho bữa tối.,i order my dinner
629,"I’d like spaghetti and a salad, please.",Tôi muốn ăn spaghetti và rau trộn.,i d like spaghetti and a salad please
630,The waitress takes my order.,Người bồi bàn nhận thực đơn gọi món của tôi.,the waitress takes my order
631,I make a toast with my friend.,Tôi cụng ly với bạn của mình.,i make æɪ təʊst with mi fɹɛnd
632,She wears a nice green suit.,Cô ấy mặc 1 bộ quần áo màu xanh.,ʃiː wɛəz æɪ naɪs ɡɹiːn s(j)uːt
633,We say “cheers”.,Chúng Tôi nói “Vui vẻ!”,wiː seɪ /tʃɪəz/
634,I pay the bill.,Tôi thanh toán hóa đơn.,aɪ peɪ ði bɪl
635,I take a ten thousand yen bill out of my wallet.,Tôi lấy 10 yên ra khỏi ví.,aɪ teɪk æɪ tɛn ˈθaʊzənd jɛn bɪl out of my wallet
636,I treat her.,Tôi đãi cô ấy.*Yên: đơn vị tiền tệ của Nhật Bản,i treat her
637,I get my change.,Tôi nhận lại tiền thừa.,i get my change
638,The waitress hands it to me.,Người bồi bàn đưa tiền thừa cho tôi.,the waitress hands it to me
639,I put the change in my wallet.,Tôi cho tiền thừa vào ví.,i put the change in my wallet
640,I relax in the chair.,Tôi thư giãn trên ghế.,i relax ɪn ði t͡ʃɛə(ɹ)
641,I change into more comfortable clothes.,Tôi đã thay một bộ quần áo thoải mái hơn.,aɪ tʃeɪndʒ ˈɪn.tuː ˈmɔː ˈkʌm.fə.tə.bəl kləʊ(ð)z
642,I drink a cup of coffee.,Tôi uống 1 tách cà phê.,aɪ dɹɪŋk æɪ kʌp ɔv ˈkɑ.fi
643,I read a letter.,Tôi đọc một lá thư.,aɪ ɹiːd æɪ -ɾə(ɹ)
644,It’s from my friend.,Nó đến từ một người bạn của tôi.,ɪt s fɹɒm mi fɹɛnd
645,She’s on a trip to Hawaii.,Cô ấy đang có một chuyến đi đến Hawaii.,ʃiː s on a trip to hawaii
646,I turn on the television.,Tôi mở ti-vi.,i turn on the television
647,I use the remote control to turn it on.,Tôi dùng điều khiển để mở ti-vi.,i use the remote control to turn it on
648,What’s on tonight?,Tối nay có chương trình gì?,what s on tonight
649,I change channels.,Tôi chuyển kênh.,i change channels
650,I don’t feel like watching comedy now.,Tôi không cảm thấy thích xem hài kịch lúc này.,aɪ dɒn t fiːl laɪk ˈwɒtʃɪŋ ˈkɒmədi naʊ
