stt,en,vi,ipa
551,I want to sleep longer.,Tôi muốn ngủ lâu hơn nữa.,aɪ wɔnt tʉː sliːp ˈlɑŋ.ɡɚ
552,My hair is messy.,Tóc tôi đang rối tung.,mi heː is ˈmɛsi
553,I open the curtains.,Tôi mở rèm.,aɪ /ˈəʊ.pən/ ði ˈkɜː(ɹ).tənz
554,It’s fine today.,Hôm nay trời rất đẹp.,ɪt s fæːn təˈdeɪ
555,I hear birds singing.,Tôi nghe thấy những con chim đang hót líu lo.,aɪ hɪə(ɹ) bɜːdz ˈsɪŋɪŋ
556,I look at myself in the mirror.,Tôi soi mình trong gương.,aɪ look at maɪˈsɛlf ɪn ði ˈmɘ.ɹɘ
557,I brush my hair.,Tôi chải tóc.,aɪ bɹʌʃ mi heː
558,I look well.,Trông tôi đẹp rồi.,aɪ look wɛl
559,I sit at the table.,Tôi ngồi cạnh bàn.,aɪ sɪt at ði /ˈteɪbəl/
560,I eat some bread and coffee for breakfast.,Tôi ăn một chút bánh mì và cà phê cho bữa sáng.,aɪ iːt sɐm bɹeːd and ˈkɑ.fi for breakfast
561,I never skip breakfast.,Tôi không bao giờ bỏ bữa sáng.,i never skip breakfast
562,I put some butter on my toast.,Tôi cho một ít bơ lên bánh mì nướng.,i put some butter on my toast
563,The butter melts on the toast.,Bơ tan ra trên bánh mì.,the butter melts on the toast
564,I spread it with a butter knife.,Tôi phết bơ bằng một con dao cắt bơ.,i spread it with a butter knife
565,I pour cream in my coffee.,Tôi tưới kem lên cà phê.,aɪ pɔː kɹiːm ɪn mi ˈkɑ.fi
566,I add some sugar too.,Tôi cũng cho thêm một ít đường.,aɪ æd sɐm ˈʃʊɡə(ɹ) tuː
567,The coffee smells good.,Cà phê rất thơm.,ði ˈkɑ.fi smells ɡʊ(d)
568,I pick up a spoon.,Tôi lấy một cái thìa.,aɪ pɪk ap æɪ spuːn
569,The coffee is hot.,Cà phê rất nóng.,ði ˈkɑ.fi is hɒt
570,I finish eating my toast.,Tôi đã ăn xong bánh mì nướng rồi.,aɪ ˈfɪnɪʃ ˈiːtɪŋ mi təʊst
571,I stir my coffee.,Tôi khuấy cà phê.,aɪ stɜː mi ˈkɑ.fi
572,Coffee wakes me up.,Cà phê làm tôi tỉnh táo.,ˈkɑ.fi wakes /miː/ ap
573,I clear the table after the breakfast.,Tôi dọn sạch bàn sau bữa sáng.,aɪ klɪə(ɹ) ði /ˈteɪbəl/ ˈæf.tə(ɹ) ði breakfast
574,I gather my papers.,Tôi thu lượm tất cả giấy tờ.,i gather my papers
575,I glance at them.,Tôi nhìn qua chúng.,i glance at them
576,I put them in my paper bag.,Tôi bỏ chúng vào túi của mình.,i put them in my paper bag
577,I walk down the street.,Tôi đi bộ xuống đường.,i walk down the street
578,I leave for work.,Tôi tan ca làm.,aɪ /liːv/ for wɜːk
579,I walk faster to catch the train.,Tôi đi nhanh để bắt kịp chuyến tàu.,aɪ /wɔːk/ ˈfɑːstə tʉː kæt͡ʃ ði tɹeɪn
580,I go through the ticket gate.,Tôi đi qua cổng soát vé.,aɪ ɡəʉ θɹuː ði ˈtɪkɪt ɡeɪt
581,The station employee greets me.,Nhân viên nhà ga chào hỏi tôi.,ði ˈsteɪʃən (ˌ)ɪm- ɡɹiːts /miː/
582,I show him my train pass.,Tôi đưa vé cho anh ấy xem.,aɪ ʃəʊ əm mi tɹeɪn pʰäːs
583,I run up the stairs.,Tôi chạy lên cầu thang.,aɪ /ɹʊn/ ap ði ˈstɛəz
584,I’m in a hurry.,Tôi đang rất vội.,aɪ m ɪn a hurry
585,I don’t want to miss the train.,Tôi không muốn bị nhỡ tàu.,i don t want to miss the train
586,I get on the train.,Tôi lên tàu.,i get on the train
587,I’m relieved.,Tôi nhẹ nhõm cả người.,i m relieved
588,I look for a seat.,Tôi tìm một chỗ ngồi.,i look for a seat
589,I find an empty seat.,Tôi tìm thấy một chỗ ngồi còn trống.,i find an empty seat
590,I’m lucky.,Tôi thật may mắn.,aɪ m ˈlʌki
591,I sit next to a man.,Tôi ngồi cạnh một người đàn ông.,aɪ sɪt nɛkst tʉː æɪ mɛn
592,I show my train pass to the conductor.,Tôi đưa vé cho người thu tiền vé xe (phụ xe).,aɪ ʃəʊ mi tɹeɪn pʰäːs tʉː ði kənˈdʌktɚ
593,He checks it.,Anh ấy kiểm tra vé.,heɪː tʃɛks ɪt
594,I put my bag on my knee.,Tôi để túi trên đầu gối của mình.,aɪ pʊt mi ˈbæːɡ ɒn mi niː
595,I head toward the exit.,Tôi đi thẳng tới lối ra.,aɪ hɛd tɘ.ˈwoːd ði exit
596,I have to go up the stairs.,Tôi phải leo lên bậc thang.,i have to go up the stairs
597,There is the exit sign on the wall.,Có biển chỉ dẫn lối ra ở trên tường.,there is the exit sign on the wall
598,I cross at the crosswalk.,Tôi băng qua lối qua đường.,i cross at the crosswalk
599,The signal is green.,Đèn báo hiệu màu xanh.,the signal is green
600,It’s dangerous to cross against the red light.,Sẽ rất nguy hiểm khi đi qua đường lúc đèn đỏ.,ɪt s ˈdeɪnd͡ʒ(ə)ɹəs tʉː /kɹɑs/ əˈɡeɪnst ði ɹɛd lʌɪt
