stt,en,vi,ipa
351,I’m happy.,Tớ rất vui.,aɪ m /ˈhæpiː/
352,I have dinner.,Tớ ăn tối.,aɪ have ˈdɪnə
353,I wear my yellow bib.,Tớ đeo cái yếm màu vàng.,aɪ wɛə mi jɛlə bɪb
354,I eat rice a lot.,Tớ ăn rất nhiều cơm.,aɪ iːt ɹaɪs æɪ lɒt
355,I set the table.,Tớ chuẩn bị bàn ăn.,aɪ sɛt ði /ˈteɪbəl/
356,I spread the tablecloth over the table.,Tớ trải khăn trải bàn.,aɪ spɹɛd ði tablecloth /ˈəʊ.və(ɹ)/ ði /ˈteɪbəl/
357,I have a party today.,Tớ có một bữa tiệc hôm nay.,aɪ have æɪ ˈpɑ(ː)ɾi təˈdeɪ
358,I put the flowers on the table.,Tớ đặt hoa lên bàn.,aɪ pʊt ði ˈflaʊ.əz ɒn ði table
359,The flowers are beautiful.,Hoa rất đẹp.,the flowers are beautiful
360,I put them at the center of the table.,Tớ để hoa vào chính giữa bàn.,i put them at the center of the table
361,I carry the dish with two hands.,Tớ bê đĩa bằng hai tay.,i carry the dish with two hands
362,It looks delicious.,Nó trông rất ngon.,it looks delicious
363,I help Mommy to prepare for the party.,Tớ giúp mẹ chuẩn bị bữa tiệc.,aɪ hɛlp mommy tʉː pɹɪˈpɛə for ði ˈpɑ(ː)ɾi
364,I sit on the chair.,Tớ ngồi lên ghế.,aɪ sɪt ɒn ði t͡ʃɛə(ɹ)
365,I’m sitting still.,Tớ vẫn đang ngồi.,aɪ m ˈsɪtɪŋ stɪl
366,I’m well-mannered.,Tớ rất lịch sự.,aɪ m wɛl mannered
367,I take a bath.,Tớ đi tắm.,aɪ teɪk æɪ bɐːθ
368,I’m naked.,Tớ đang không mặc gì.,aɪ m ˈnɛkɪd
369,I take my toy with me.,Tớ mang theo đồ chơi của mình.,aɪ teɪk mi tɔɪ with /miː/
370,I shampoo my sister’s hair.,Tớ gội đầu cho em gái.,aɪ ʃamˈpuː mi ˈsɪs.tə s heː
371,She looks like she feels better.,Có vẻ như em ấy đang cảm thấy tốt hơn.,ʃiː lʊks laɪk ʃiː fiːlz better
372,She has short hair.,Em ấy có tóc ngắn.,she has short hair
373,I feel better.,Tớ cảm thấy dễ chịu hơn.,i feel better
374,The toy duck is floating around me.,Con vịt đồ chơi đang nổi bồng bềnh quanh người tớ.,the toy duck is floating around me
375,I count twenty with my body soaked.,Tớ ngâm mình trong nước và đếm đến 20.,i count twenty with my body soaked
376,I dry my body.,Tớ lau khô người.,i dry mi ˈbɒdi
377,I feel warm.,Tớ thấy ấm.,aɪ fiːl wɔːm
378,I wrap myself in a bathtowel.,Tớ quấn người mình bằng một chiếc khăn tắm.,aɪ ɹæp maɪˈsɛlf ɪn æɪ bathtowel
379,I weigh myself on the scale.,Tớ cân.,aɪ weɪ maɪˈsɛlf ɒn ði skeɪl
380,I look at the scale.,Tớ nhìn vào cân.,aɪ look at ði skeɪl
381,I put on weight.,Tớ tăng cân rồi.,aɪ pʊt ɒn weɪt
382,I have seafood for dinner.,Tớ ăn hải sản cho bữa tối.,aɪ have ˈsiːfuːd for ˈdɪnə
383,I have two rolls instead of rice.,Tớ ăn hai ổ bánh mì thay cơm.,aɪ have tuː ɹəʊlz ɪnˈstɛd of rice
384,I like fried shrimp.,Tớ thích ăn tôm chiên.,i like fried shrimp
385,I hold my breath.,Tớ nín thở.,i hold my breath
386,I have hiccups.,Tớ bị nấc.,i have hiccups
387,I want Mommy to tap my back.,Tớ muốn mẹ vỗ đằng sau lưng cho tớ.,i want mommy to tap my back
388,I get into bed.,Tớ leo lên giường.,i get into bed
389,I sleep with my bear.,Tớ ngủ với con gấu bông của mình.,aɪ sliːp with mi bɛə(ɹ)
390,I want to have a good dream.,Tớ muốn mơ một giấc mơ thật đẹp.,aɪ wɔnt tʉː have æɪ ɡʊ(d) dɹiːm
391,I get under the blanket.,Tớ chui dưới chăn.,aɪ ɡɛt ˈʊndə ði ˈblæŋkɪt
392,I crawl under the blanket.,Tớ bò dưới cái chăn.,aɪ kɹɔl ˈʊndə ði ˈblæŋkɪt
393,I feel like a caterpillar.,Tớ thấy mình giống như 1 con sâu vậy.,aɪ fiːl laɪk æɪ ˈkætəˌpɪlə
394,I stay at home alone.,Tớ ở nhà một mình.,aɪ steɪ at (h)əʊm əˈləʊn
395,I feel lonely.,Tớ cảm thấy cô đơn.,aɪ fiːl ˈləʊnli
396,I hope Mommy comes home soon.,Tớ mong mẹ sẽ sớm về nhà.,aɪ həʊp mommy comes home soon
397,I eat a lot.,Tớ ăn rất nhiều.,i eat a lot
398,I eat every kind of food.,Tớ ăn nhiều loại thức ăn.,i eat every kind of food
399,Sometimes I eat too much.,Đôi lúc tớ ăn quá nhiều.,sometimes i eat too much
400,I fall and get hurt.,Tớ ngã và bị đau.,i fall and get hurt
