stt,en,vi,ipa
101,I hold a yellow flag in my left hand.,Tớ cầm một lá cờ màu vàng ở tay trái.,aɪ həʊld æɪ jɛlə flæɡ ɪn mi lɛft hænd
102,I look both ways very carefully.,Tớ nhìn cẩn thận cả hai bên đường.,aɪ look bəʊθ weɪz ˈvɛɹi ˈkɛːfli
103,I bite my friend.,Tớ cắn bạn tớ.,aɪ bʌɪt mi fɹɛnd
104,My friend looks surprised.,Bạn tớ có vẻ rất sửng sốt.,mi fɹɛnd lʊks səˈpɹaɪzd
105,Sometimes we fight with each other.,Đôi khi chúng tớ còn cãi lộn với nhau.,ˈsʌmtaɪmz wiː fʌɪt with each other
106,I hold his hand.,Tớ cầm tay cậu ấy.,i hold his hand
107,I like him.,Tớ quý cậu ấy.,i like him
108,We’re good friends.,Chúng tớ là bạn tốt của nhau.,we re good friends
109,I show him my goldfish.,Tớ cho cậu ấy xem con cá vàng.,i show him my goldfish
110,It’s red.,Nó màu đỏ nữa.,it s red
111,The goldfish swims slowly.,Con cá vàng bơi chầm chậm.,ði goldfish swims ˈsləʊli
112,I take off my shoes.,Tớ bỏ giầy.,aɪ teɪk ɔːf mi ʃuːz
113,I don’t wear socks.,Tớ không đi tất.,aɪ dɒn t wɛə sɒks
114,I walk barefoot.,Tớ đi chân trần.,aɪ /wɔːk/ ˈbɛəfʊt
115,I ride my bicycle.,Tớ đi xe đạp.,aɪ ɹaɪd mi ˈbaɪsɪkl̩
116,I can ride it very well.,Tớ có thể đi xe đạp rất tốt.,aɪ ˈkæn ɹaɪd ɪt ˈvɛɹi wɛl
117,Cool air feels nice.,Không khí mát mẻ thật dễ chịu.,kuːl ˈɛə fiːlz naɪs
118,I take a picture.,Tớ chụp 1 bức ảnh.,aɪ teɪk æɪ ˈpɪktʃə
119,My dog poses for a picture.,Con chó của tớ tạo dáng.,mi dɑɡ poses for æɪ picture
120,He wears a red tie.,Nó đeo một cái nơ đỏ.,he wears a red tie
121,I color the apple red.,Tớ tô quả táo màu đỏ.,i color the apple red
122,I color the banana yellow.,Tớ tô quả chuối màu vàng.,i color the banana yellow
123,I have many crayons.,Tớ có rất nhiều bút màu.,i have many crayons
124,I prepare the dinner.,Tớ chuẩn bị bữa tối.,i prepare the dinner
125,The pot is on the stove.,Cái nồi ở trên bếp ga.,ði /pɒt/ is ɒn ði stəʊv
126,I wonder if I can cook it well.,Tớ đang tự hỏi liệu mình có thể nấu ăn ngon không.,aɪ ˈwʌndə ɪf aɪ ˈkæn kuːk ɪt wɛl
127,I make a house with blocks.,Tớ xếp một ngôi nhà với các khối hình.,aɪ meɪk æɪ hʌʊs with blɒks
128,Those blocks are colorful.,Những khối hình này rất nhiều màu sắc.,ðəʊz blɒks ɛə ˈkʌləfəl
129,It’s easy to pile them up.,Rất dễ để xếp chúng thành chồng.,ɪt s ˈiːzi tʉː paɪl /ðʌm/ up
130,I play in the kitchen.,Tớ chơi trong nhà bếp.,i play in the kitchen
131,I put my doll on the chair.,Tớ để búp bê lên ghế.,i put my doll on the chair
132,The dinning table is covered with my favorite table cloth.,Bàn ăn được phủ bằng một tấm vải bàn mà tớ rất thích.,the dinning table is covered with my favorite table cloth
133,I put the peas into a jar.,Tớ cho hạt đậu vào trong lọ.,i put the peas into a jar
134,It’s difficult to put them in it.,Rất khó để bỏ các hạt đậu vào lọ.,ɪt s ˈdɪfɪkəlt tʉː pʊt /ðʌm/ ɪn ɪt
135,I spill some of them.,Tớ đã làm rơi một vài hạt ra ngoài.,aɪ spɪl sɐm ɔv /ðʌm/
136,I pick up some beans.,Tớ nhặt một vài hạt đậu lên.,aɪ pɪk ap sɐm biːnz
137,I wonder how many peas there are.,Tớ tự hỏi có bao nhiêu hạt ở đây.,aɪ ˈwʌndə hæŏ ˈmæni piːz ðeː(ɹ) ɛə
138,I have to crawl under the table.,Tớ phải bò dưới bàn.,aɪ have tʉː kɹɔl ˈʊndə ði /ˈteɪbəl/
139,I sweep the floor.,Tớ quét nhà.,aɪ sweep the floor
140,It’s so dusty.,Nó rất bụi.,it s so dusty
141,I clean it every day,Tớ dọn dẹp mỗi ngày.,i clean it every day
142,I hold the dustpan.,Tớ cầm cái hót rác.,i hold the dustpan
143,I put the trash in the dustpan.,Tớ cho rác vào cái hót rác.,i put the trash in the dustpan
144,The room is clean now.,Bây giờ căn phòng đã sạch sẽ rồi.,the room is clean now
145,I open the window.,Tớ mở cửa sổ.,aɪ /ˈəʊ.pən/ ði ˈwɪndəʊ
146,It’s sunny today.,Hôm nay trời nắng.,ɪt s ˈsʌni təˈdeɪ
147,The flowers look fresh.,Những bông hoa tươi roi rói.,ði ˈflaʊ.əz look fɹɛʃ
148,I look out the window.,Tớ nhìn ra ngoài cửa sổ.,aɪ look æɔt ði ˈwɪndəʊ
149,I’m waiting for my friend to come.,Tớ đang đợi bạn tớ đến.,aɪ m ˈweɪ̯ɾɪŋ for mi fɹɛnd tʉː kʌm
150,I wonder where she’s walking now.,Tớ tự hỏi cô ấy đang đi bộ đến đâu rồi?,aɪ ˈwʌndə wɛə(ɹ) ʃiː s walking now
