stt,en,vi,ipa
700,I ask for directions.,Tôi hỏi đường đi.,i ask for directions
701,She tells me the way politely.,Cô ấy chỉ đường cho tôi một cách rất lịch sự.,she tells me the way politely
702,She points at the direction.,Cô ấy chỉ hướng đi.,she points at the direction
703,I head for the beach.,Tôi đi thẳng đến biển.,i head for the beach
704,I wear sun-glasses.,Tôi đeo kính râm.,aɪ wɛə sʌn ˈɡlasɪz
705,I’m humming.,Tôi ngâm nga.,aɪ m ˈhʌmɪŋ
706,I play Frisbee.,Tôi chơi ném đĩa.,aɪ pleɪ frisbee
707,I throw a Frisbee.,Tôi ném một chiếc đĩa.,aɪ /θɹəʊ/ æɪ frisbee
708,I enjoy playing Frisbee.,Tôi thích chơi ném đĩa.,aɪ ənˈd͡ʒɔɪ ˈpleɪ.ɪŋ frisbee
709,I sunbathe.,Tôi phơi nắng.,aɪ sunbathe
710,I lie on a towel.,Tôi nằm trên một cái khăn tắm.,aɪ laɪ̯ ɒn æɪ taʊl
711,I get a tan.,Tôi rám nắng.,aɪ ɡɛt æɪ tæn
712,I walk into the supermarket.,Tôi đi vào trong siêu thị.,aɪ /wɔːk/ ˈɪn.tuː ði ˌsuːpəˈmɑːkɪt
713,The door opens automatically.,Cánh cửa tự động mở.,ði dɔː ˈəʊ.pənz ˈɔːtəʊˌmæt.ɪk(.ə)li
714,I see some fruit near the entrance.,Tôi nhìn thấy hoa quả ngay cạnh lối vào.,aɪ siː sɐm fɹuːt nɪə(ɹ) ði ˈɛn.tɹəns
715,I get a shopping cart.,Tôi lấy một cái giỏ hàng.,aɪ ɡɛt æɪ ˈʃɒpɪŋ kɑːt
716,It’s convenient for carrrying lots of food.,Nó rất tiện lợi để chở nhiều đồ.,ɪt s kənˈviːniənt for carrrying lɒts ɔv food
717,I push the cart with one hand.,Tôi dùng một tay đẩy giỏ hàng.,i push the cart with one hand
718,I check the shopping list.,Tôi kiểm tra danh sách mua đồ.,i check the shopping list
719,I have a lot of things to buy.,Có rất nhiều thứ phải mua.,i have a lot of things to buy
720,I put my bag on the bottom of the shopping cart.,Tôi bỏ túi xách của mình xuống dưới đáy giỏ hàng.,i put my bag on the bottom of the shopping cart
721,I walk down the ailse.,Tôi đi xuống phía lối đi.,aɪ /wɔːk/ daʊn ði ailse
722,I see many goods displayed on the shelf.,Tôi nhìn thấy nhiều đồ được trưng bày trên giá.,aɪ siː ˈmæni ɡʊdz dɪsˈpleɪd ɒn ði ʃɛlf
723,I look for the goods I want.,Tôi tìm mua đồ mà Tôi muốn.,aɪ look for ði ɡʊdz aɪ wɔnt
724,I stop at the meat section.,Tôi dừng lại ở quầy thịt.,aɪ stɒp at ði miːt ˈsɛkʃən
725,I should buy meat.,Tôi nên mua thịt.,aɪ /ʃʊd/ baɪ meat
726,It looks so delicious.,Nó trông rất ngon.,it looks so delicious
727,I look at a steak.,Tôi nhìn vào miếng thịt.,i look at a steak
728,They are wrapped one by one.,Chúng được gói từng miếng một.,they are wrapped one by one
729,I choose the best one.,Tôi chọn miếng ngon nhất.,i choose the best one
730,I look at the price.,Tôi nhìn vào giá.,i look at ði pɹaɪs
731,"Whoo, it’s too expensive.","Ôi, nó đắt quá!",whoo ɪt s tuː ɛkˈspɛnsɪv
732,I can’t buy it.,Tôi không thể mua được.,aɪ ˈkæn t baɪ ɪt
733,I put it back.,Tôi bỏ nó lại.,aɪ pʊt ɪt bæk
734,I give up buying the steak.,Tôi không mua miếng thịt đó nữa.,aɪ ɡɪv ap ˈbaɪ.ɪŋ ði steɪk
735,I’ll have a steak after I get my pay.,Tôi sẽ mua thịt sau khi nhận lương.,aɪ ll have æɪ steɪk after i get my pay
736,I pick up a package of ground beef.,Tôi chọn một gói thịt bò xay.,i pick up a package of ground beef
737,The price is reasonable.,Giá của nó rất hợp lí.,the price is reasonable
738,I can make hamburgers with it.,Tôi có thể làm bánh hamburgers với túi thịt bò này.,i can make hamburgers with it
739,I put the package into the cart.,Tôi bỏ gói thịt bò xay vào giỏ hàng.,i put the package into the cart
740,I have an apple and some bananas in my cart.,Trong giỏ hàng của tôi có 1 quả táo và vài quả chuối.,aɪ have æn ˈæp.əl and sɐm bəˈnɑːnəz ɪn mi kɑːt
741,I go through the fish section.,Tôi đi qua quầy cá.,aɪ ɡəʉ θɹuː ði fɪʃ ˈsɛkʃən
742,I glance at the packages.,Tôi liếc nhìn những gói cá.,aɪ /ɡlɑːns/ at ði packages
743,I don’t need fish today.,Hôm nay tôi không cần ăn cá.,aɪ dɒn t niːd fish today
744,I take a six-pack of juice.,Tôi lấy 6 hộp nước ép hoa quả.,i take a six pack of juice
745,They are selling it at a special price today.,Họ đang bán nó với một mức giá đặc biệt trong ngày hôm nay.,they are selling it at a special price today
746,I go to the cashier.,Tôi đi đến chỗ thu ngân.,i go to the cashier
747,I look at the receipt.,Tôi nhìn vào hóa đơn.,i look at the receipt
748,I check what I bought.,Tôi kiểm tra những gì mình đã mua.,aɪ t͡ʃɛk wɔt aɪ bɔːt
749,I spent a lot of money.,Tôi đã chi rất nhiều tiền.,aɪ ˈspɛnt æɪ lɒt ɔv ˈmʌni
750,I go out of the store with the groceries.,Tôi đi ra khỏi quầy hàng với rất nhiều hàng hóa.,aɪ ɡəʉ æɔt ɔv ði stɔː with ði ˈɡɹəʊs(ə)ɹiz
