stt,en,vi,ipa
651,I continue to change channels.,Tôi tiếp tục chuyển kênh.,aɪ kənˈtɪnjuː tʉː tʃeɪndʒ ˈtʃænəlz
652,I watch a movie.,Tôi xem một bộ phim.,aɪ wɒt͡ʃ æɪ ˈmuːvi
653,I like movies.,Tôi thích phim.,aɪ laɪk movies
654,It’s just started.,Nó vừa mới bắt đầu thôi.,ɪt s d͡ʒʌst ˈstɑːtɪd
655,I look at the clock.,Tôi nhìn đồng hồ.,aɪ look at ði klɒk
656,It’s already 9 o’clock.,Đã 9 giờ rồi.,ɪt s ɑlˈɹɛdi əʊ clock
657,Time goes by quickly.,Thời gian trôi thật nhanh.,time goes by quickly
658,I take a shower.,Tôi đi tắm.,i take a shower
659,The hot water comes out from the shower.,Nước nóng xả ra từ vòi hoa sen.,the hot water comes out from the shower
660,I feel good.,Tôi cảm thấy rất thư giãn.,i feel good
661,I put on my pajamas.,Tôi mặc đồ ngủ.,i put on my pəˈd͡ʒæ.məz
662,I button up my pajamas.,Tôi cài khuy áo bộ đồ ngủ.,aɪ ˈbʌtn̩ ap mi pəˈd͡ʒæ.məz
663,I put a curler on my bangs.,Tôi cuộn lô lên tóc mái.,aɪ pʊt æɪ curler ɒn mi bæŋz
664,I keep myself warm.,Tôi giữ cho mình thật ấm.,aɪ kiːp maɪˈsɛlf wɔːm
665,I put my short robe on.,Tôi mặc chiếc áo choàng ngắn lên người.,aɪ pʊt mi ʃoːt ɹəʊb ɒn
666,I tie the strings in front.,Tôi thắt dây phía trước.,aɪ taɪ ði stɹɪŋz ɪn fɹʌnt
667,I set the alarm clock for seven.,Tôi đặt đồng hồ báo thức 7 giờ.,aɪ sɛt ði əˈlɑːm klɒk for ˈsɛv.ən
668,I don’t want to oversleep tomorrow.,Tôi không muốn sáng mai ngủ quên.,aɪ dɒn t want to oversleep tomorrow
669,This alarm is noisy.,Chuông báo này rất ồn.,this alarm is noisy
670,I turn off the light.,Tôi tắt điện.,i turn off the light
671,I put the alarm clock on the side table.,Tôi đặt chiếc đồng hộ báo thức ở bên cạnh bàn.,i put the alarm clock on the side table
672,I go to sleep at ten.,Tôi đi ngủ lúc 10 giờ.,i go to sleep at ten
673,I find a telephone boot.,Tôi tìm một cái bốt điện thoại.,aɪ faɪnd æɪ ˈtɛləfəʊn /buːt/
674,It’s empty now.,Bốt điện thoại đang trống.,ɪt s ˈɛmpti naʊ
675,I have to call the office.,Tôi gọi phải gọi đến văn phòng.,aɪ have tʉː /kɔːɫ/ ði /ˈɑfɪs/
676,I step outside.,Tôi bước tới phía ngoài.,aɪ stɛp outside
677,I pull the door closed.,Tôi kéo cửa đóng vào.,aɪ pʊl ði dɔː kləʊzd
678,I make a telephone call.,Tôi gọi điện thoại.,aɪ meɪk æɪ ˈtɛləfəʊn /kɔːɫ/
679,I reach into my pocket.,Tôi đưa tay vào túi áo.,aɪ ɹiːt͡ʃ ˈɪn.tuː mi /ˈpɒkɪt/
680,I feel in my pocket for a coin.,Tôi tìm đồng xu trong túi.,aɪ fiːl ɪn mi pocket for a coin
681,I pick up the receiver.,Tôi nhấc ống nghe lên.,i pick up the receiver
682,I take a ten yen coun out of my pocket.,Tôi lấy 10 yên ra khỏi túi.,i take a ten yen coun out of my pocket
683,I think ten yen is enough.,Tôi nghĩ 10 yên là đủ.,i think ten yen is enough
684,I make a local call.,Tôi gọi một cuộc gọinội mạng.,i make a local call
685,I put the coin in the telephone.,Tôi bỏ đồng xu vào máy.,aɪ pʊt ði kɔɪn ɪn ði ˈtɛləfəʊn
686,I put another coin in just in case.,Tôi bỏ thêm một đồng xu nữa để dự phòng.,aɪ pʊt /æˈnʌð.ə(ɹ)/ kɔɪn ɪn d͡ʒʌst ɪn keɪs
687,"If ten yen isn’t enough, the telephone goes dead suddenly.","Nếu 10 yên khôngđủ, thì điện thoại sẽngắt đột ngột.",ɪf tɛn jɛn isn t iˈnʌf ði ˈtɛləfəʊn ɡəʊz diːd ˈsʌdn̩li
688,I dial the number.,Tôi ấn số.,aɪ /ˈdaɪəɫ/ ði ˈnʌmbə
689,Who will answer the phone?,Ai sẽ trả lời điện thoại của Tôi nhỉ?,huː will answer the phone
690,I hope the line isn’t busy.,Tôi hi vọng đường dây không bận.,i hope the line isn t busy
691,I talk on the telephone.,Tôi nói chuyện qua điện thoại.,i talk on the telephone
692,I report on my sales to my boss.,Tôi báo cáo tình hình bán hàng tới ông chủ.,i report on my sales to my boss
693,I hang up.,Tôi kết thúc cuộc gọi.,i hang up
694,I walk down the stairs.,Tôi đi bộ xuống cầu thang.,aɪ /wɔːk/ daʊn ði ˈstɛəz
695,I watch for the steps.,Tôi chú ý bước đi cẩn thận.,aɪ wɒt͡ʃ for ði stɛps
696,I’m on the way to meet a new customer.,Tôi đang trên đườngđến gặp một kháchhàng mới.,aɪ m ɒn ði weɪ tʉː miːt æɪ njʉː ˈkʌstəmə
697,I look at the map.,Tôi nhìn vào bản đồ.,aɪ look at ði mæp
698,I check the place.,Tôi kiểm tra điểm đến.,aɪ t͡ʃɛk ði pleɪs
699,I’m not sure where the firm is.,Tôi không biết chắc công ty đó ở đâu.,aɪ m not sure where the firm is
700,I ask for directions.,Tôi hỏi đường đi.,i ask for directions
