stt,en,vi,ipa
541,I dance.,Tớ nhảy.,i dance
542,It’s exciting.,Nó rất thú vị.,it s exciting
543,My hair is swinging.,Tóc tớ đang đung đưa.,my hair is swinging
544,I put the books in my bag.,Tớ cho sách vào trong túi.,i put the books in my bag
545,I wear my school uniform.,Tớ mặc đồng phục của trường.,i wear my school uniform
546,I chek my bag every morning.,Tớ kiểm tra cặp sách mỗi buổi sáng.,aɪ chek mi ˈbæːɡ every ˈmɔːnɪŋ
547,I wake up at seven.,Tôi dậy vào lúc 7 giờ.,aɪ ˈweɪk ap at ˈsɛv.ən
548,The alarm clock goes off.,Đồng hồ báo thức đã tắt.,ði əˈlɑːm klɒk ɡəʊz ɔːf
549,Is it already time to get up?,Đã đến lúc phải dậy chưa?,is ɪt ɑlˈɹɛdi tɑem tʉː ɡɛt ap
550,I get out of bed.,Tôi ra khỏi giường.,aɪ ɡɛt æɔt ɔv bed
551,I want to sleep longer.,Tôi muốn ngủ lâu hơn nữa.,aɪ wɔnt tʉː sliːp ˈlɑŋ.ɡɚ
552,My hair is messy.,Tóc tôi đang rối tung.,mi heː is ˈmɛsi
553,I open the curtains.,Tôi mở rèm.,aɪ /ˈəʊ.pən/ ði ˈkɜː(ɹ).tənz
554,It’s fine today.,Hôm nay trời rất đẹp.,ɪt s fæːn təˈdeɪ
555,I hear birds singing.,Tôi nghe thấy những con chim đang hót líu lo.,aɪ hɪə(ɹ) bɜːdz ˈsɪŋɪŋ
556,I look at myself in the mirror.,Tôi soi mình trong gương.,aɪ look at maɪˈsɛlf ɪn ði ˈmɘ.ɹɘ
557,I brush my hair.,Tôi chải tóc.,aɪ bɹʌʃ mi heː
558,I look well.,Trông tôi đẹp rồi.,aɪ look wɛl
559,I sit at the table.,Tôi ngồi cạnh bàn.,aɪ sɪt at ði /ˈteɪbəl/
560,I eat some bread and coffee for breakfast.,Tôi ăn một chút bánh mì và cà phê cho bữa sáng.,aɪ iːt sɐm bɹeːd and ˈkɑ.fi for breakfast
