stt,en,vi,ipa
321,I sit in the driver’s seat.,Tớ ngồi vào ghế lái xe.,i sit in the ˈdɹaɪ.və(ɹ) s siːt
322,I cook dinner.,Tớ nấu bữa tối.,aɪ kuːk ˈdɪnə
323,I mix the ingredients with chopsticks.,Tớ dùng đũa trộn các nguyên liệu với nhau.,aɪ ˈmɪks ði ingredients with chopsticks
324,I slice the cucumber.,Tớ thái dưa chuột.,aɪ slaɪs ði ˈkjuːˌkʌmbə
325,I run very fast.,Tớ chạy rất nhanh.,aɪ /ɹʊn/ ˈvɛɹi fɑːst
326,I want to win the race.,Tớ muốn thắng cuộc đua này.,aɪ wɔnt tʉː wɪn ði ɹeɪs
327,I tie the red band around my head.,Tớ đeo một chiếc băng đỏ quanh đầu.,aɪ taɪ ði ɹɛd bænd əˈɹaʊnd mi head
328,I throw a ball.,Tớ ném bóng.,i throw a ball
329,I try to throw it far.,Tớ cố gắng ném nó thật xa.,i try to throw it far
330,It’s fun to play outside.,Chơi ở ngoài thật vui.,it s fun to play outside
331,I dig in the garden.,Tớ đào hố ở trong vườn.,i dig in the garden
332,I use a shovel.,Tớ dùng một cái xẻng.,i use a shovel
333,I stretch out my legs.,Tớ dang chân ra.,aɪ stɹɛtʃ æɔt mi lɛɡz
334,I walk fast.,Tớ đi bộ rất nhanh.,aɪ /wɔːk/ fɑːst
335,I swing my arms.,Tớ vung vẩy tay.,aɪ ˈswɪŋ mi ɑːmz
336,Walking fast is good for my health.,Đi bộ nhanh rất tốt cho sức khỏe của tớ.,ˈwɔːkɪŋ fɑːst is ɡʊ(d) for mi hɛlθ
337,I walk slowly.,Tớ đi bộ chậm.,aɪ /wɔːk/ ˈsləʊli
338,I feel like a turtle.,Tớ thấy mình giống như một con rùa vậy.,aɪ fiːl laɪk æɪ /ˈtɜːtəl/
339,It takes more time to get to the place.,Sẽ tốn thời gian hơn để đến một nơi nào đó.,ɪt teɪks ˈmɔː tɑem tʉː ɡɛt to the place
340,I pull weeds.,Tớ nhổ cỏ.,i pull weeds
