stt,en,vi,ipa
821,We eat our lunch up.,Chúng tôi đã ăn hết bữa trưa.,we eat our lunch up
822,I wipe the table.,Tôi lau bàn.,i wipe the table
823,I clean it up.,Tôi lau sạch bàn.,i clean it up
824,I leave the soy sauce and the salt on the table.,Tôi bỏ lại nước tương và muối trên bàn.,i leave the soy sauce and the salt on the table
825,I carry the dirty dishes to the sink.,Tôi mang những cái đĩa bẩn tới bồn rửa.,aɪ ˈkæ.ɹi ði ˈdɜːti ˈdɪʃɪz tʉː ði sɪŋk
826,I carry them carefully.,Tôi bê rất cẩn thận.,aɪ ˈkæ.ɹi /ðʌm/ ˈkɛːfli
827,I don’t want to break them.,Tôi không muốn làm vỡ chúng.,aɪ dɒn t wɔnt tʉː bɹeɪk /ðʌm/
828,I soak the dishes.,Tôi nhúng những chiếc đĩa xuống nước.,aɪ /səʊk/ ði ˈdɪʃɪz
829,I fill the sink with water.,Tôi xả đầy nước vào bồn.,aɪ fɪl ði sɪŋk with ˈwoːtə
830,I wish I had a dishwasher.,Tôi ước Tôi có một cái máy rửa chén bát.,aɪ wɪʃ aɪ had æɪ /ˈdɪʃˌwɒʃə/
831,I wash the dishes.,Tôi rửa đĩa.,aɪ wɑʃ ði ˈdɪʃɪz
832,I wash them with detergent.,Tôi dùng dầu rửa để rửa.,aɪ wɑʃ /ðʌm/ with dɪˈtɜːdʒənt
833,A cup is floating in the sink.,Một cái cốc đang nổi bồng bềnh trong bồn sửa.,æɪ kʌp is ˈfləʊtɪŋ in the sink
834,I dry the dishes.,Tôi lau khô đĩa.,i dry the dishes
835,I wipe them with a dish towel.,Tôi lau đĩa bằng một cái khăn.,i wipe them with a dish towel
836,I put the dishes on the draining board.,Tôi bỏ đĩa lên giá.*draining board = drainboard: mặt nghiêng trên chạn đựng bát đựa (để ráo nước),i put the dishes on the draining board
837,I put away the dishes in the cupboard.,Tôi cho đĩa vào trong tủ chạn.,i put away the dishes in the cupboard
838,I display the neatly.,Tôi sắp xếp một cách gọn gàng.,aɪ dɪsˈpleɪ ði ˈniːtli
839,"On, no. The inside of cupboard is dusty.","Ôi không, bên trong tủ chạn bụi quá.",ɒn nəʊ ði ɪnˈsaɪd ɔv /ˈkʌbəd/ is ˈdʌsti
840,I dry the clothes in the dryer.,Tôi lau khô quần áo bằng máy sấy khô.,aɪ dɹaɪ ði kləʊ(ð)z ɪn ði ˈdɹaɪə
