stt,en,vi,ipa
581,The station employee greets me.,Nhân viên nhà ga chào hỏi tôi.,ði ˈsteɪʃən (ˌ)ɪm- ɡɹiːts /miː/
582,I show him my train pass.,Tôi đưa vé cho anh ấy xem.,aɪ ʃəʊ əm mi tɹeɪn pʰäːs
583,I run up the stairs.,Tôi chạy lên cầu thang.,aɪ /ɹʊn/ ap ði ˈstɛəz
584,I’m in a hurry.,Tôi đang rất vội.,aɪ m ɪn a hurry
585,I don’t want to miss the train.,Tôi không muốn bị nhỡ tàu.,i don t want to miss the train
586,I get on the train.,Tôi lên tàu.,i get on the train
587,I’m relieved.,Tôi nhẹ nhõm cả người.,i m relieved
588,I look for a seat.,Tôi tìm một chỗ ngồi.,i look for a seat
589,I find an empty seat.,Tôi tìm thấy một chỗ ngồi còn trống.,i find an empty seat
590,I’m lucky.,Tôi thật may mắn.,aɪ m ˈlʌki
591,I sit next to a man.,Tôi ngồi cạnh một người đàn ông.,aɪ sɪt nɛkst tʉː æɪ mɛn
592,I show my train pass to the conductor.,Tôi đưa vé cho người thu tiền vé xe (phụ xe).,aɪ ʃəʊ mi tɹeɪn pʰäːs tʉː ði kənˈdʌktɚ
593,He checks it.,Anh ấy kiểm tra vé.,heɪː tʃɛks ɪt
594,I put my bag on my knee.,Tôi để túi trên đầu gối của mình.,aɪ pʊt mi ˈbæːɡ ɒn mi niː
595,I head toward the exit.,Tôi đi thẳng tới lối ra.,aɪ hɛd tɘ.ˈwoːd ði exit
596,I have to go up the stairs.,Tôi phải leo lên bậc thang.,i have to go up the stairs
597,There is the exit sign on the wall.,Có biển chỉ dẫn lối ra ở trên tường.,there is the exit sign on the wall
598,I cross at the crosswalk.,Tôi băng qua lối qua đường.,i cross at the crosswalk
599,The signal is green.,Đèn báo hiệu màu xanh.,the signal is green
600,It’s dangerous to cross against the red light.,Sẽ rất nguy hiểm khi đi qua đường lúc đèn đỏ.,ɪt s ˈdeɪnd͡ʒ(ə)ɹəs tʉː /kɹɑs/ əˈɡeɪnst ði ɹɛd lʌɪt
