stt,en,vi,ipa
201,My slippers come off.,Dép của tớ trượt cả ra khỏi chân.,mi slippers kʌm ɔːf
202,I take my dishes to the sink.,Tớ mang đĩa chén đến bồn rửa.,aɪ teɪk mi ˈdɪʃɪz tʉː ði sink
203,I hold them with both hands.,Tớ cầm chúng bằng cả hai tay.,i hold them with both hands
204,I walk very carefully.,Tớ đi rất cẩn thận.,i walk very carefully
205,I carry the stool.,Tớ mang cái ghế đẩu ra.,i carry the stool
206,It’s not so heavy.,Nó không nặng lắm.,it s not so heavy
207,"Now, I’m going to do the dishes.",Bây giờ tớ sẽ rửa chén đĩa.,now i m going to do the ˈdɪʃɪz
208,I go for a walk.,Tớ đi dạo bộ.,aɪ ɡəʉ for æɪ /wɔːk/
209,I feel happy.,Tớ cảm thấy vui.,aɪ fiːl /ˈhæpiː/
210,I like going out.,Tớ thích đi ra ngoài.,aɪ laɪk ˈɡəʊɪŋ æɔt
211,I go to the park.,Tớ đi đến công viên.,aɪ ɡəʉ tʉː ði paːk
212,It’s my favorite place.,Đó là địa điểm yêu thích của tớ.,ɪt s mi ˈfeɪv.ɹɪt pleɪs
213,The gate is made of stone.,Cổng được làm bằng đá.,ði ɡeɪt is meɪd ɔv stɐʉn
214,I look for good.,Tớ tìm đồ.,aɪ look for ɡʊ(d)
215,I open my bag.,Tớ mở túi của mình ra.,aɪ /ˈəʊ.pən/ mi ˈbæːɡ
216,I brought some sweets.,Tớ đã mang theo vài viên kẹo.,aɪ bɹɔːt sɐm sweets
217,I slide down the slide.,Tớ trượt cầu.,aɪ slaɪd daʊn ði slide
218,The slide is in the shape of an elephant.,Chiếc cầu trượt có hình con voi.,the slide is in the shape of an elephant
219,It’s a lot of fun.,Thật là nhiều niềm vui.,it s a lot of fun
220,I see yellow flowers.,Tớ nhìn thấy những bông hoa màu vàng.,i see yellow flowers
