stt,en,vi,ipa
101,I hold a yellow flag in my left hand.,Tớ cầm một lá cờ màu vàng ở tay trái.,aɪ həʊld æɪ jɛlə flæɡ ɪn mi lɛft hænd
102,I look both ways very carefully.,Tớ nhìn cẩn thận cả hai bên đường.,aɪ look bəʊθ weɪz ˈvɛɹi ˈkɛːfli
103,I bite my friend.,Tớ cắn bạn tớ.,aɪ bʌɪt mi fɹɛnd
104,My friend looks surprised.,Bạn tớ có vẻ rất sửng sốt.,mi fɹɛnd lʊks səˈpɹaɪzd
105,Sometimes we fight with each other.,Đôi khi chúng tớ còn cãi lộn với nhau.,ˈsʌmtaɪmz wiː fʌɪt with each other
106,I hold his hand.,Tớ cầm tay cậu ấy.,i hold his hand
107,I like him.,Tớ quý cậu ấy.,i like him
108,We’re good friends.,Chúng tớ là bạn tốt của nhau.,we re good friends
109,I show him my goldfish.,Tớ cho cậu ấy xem con cá vàng.,i show him my goldfish
110,It’s red.,Nó màu đỏ nữa.,it s red
111,The goldfish swims slowly.,Con cá vàng bơi chầm chậm.,ði goldfish swims ˈsləʊli
112,I take off my shoes.,Tớ bỏ giầy.,aɪ teɪk ɔːf mi ʃuːz
113,I don’t wear socks.,Tớ không đi tất.,aɪ dɒn t wɛə sɒks
114,I walk barefoot.,Tớ đi chân trần.,aɪ /wɔːk/ ˈbɛəfʊt
115,I ride my bicycle.,Tớ đi xe đạp.,aɪ ɹaɪd mi ˈbaɪsɪkl̩
116,I can ride it very well.,Tớ có thể đi xe đạp rất tốt.,aɪ ˈkæn ɹaɪd ɪt ˈvɛɹi wɛl
117,Cool air feels nice.,Không khí mát mẻ thật dễ chịu.,kuːl ˈɛə fiːlz naɪs
118,I take a picture.,Tớ chụp 1 bức ảnh.,aɪ teɪk æɪ ˈpɪktʃə
119,My dog poses for a picture.,Con chó của tớ tạo dáng.,mi dɑɡ poses for æɪ picture
120,He wears a red tie.,Nó đeo một cái nơ đỏ.,he wears a red tie
