stt,en,vi,ipa
341,It’s hard work.,Đó là một công việc nặng nhọc.,it s hard work
342,There are a lot of weeds in my garden.,Có rất nhiều cỏ ở trong vườn.,there are a lot of weeds in my garden
343,I pick baby corn.,Tớ hái ngô non.,i pick baby corn
344,The bowl is almost full.,Cái bát gần đầy rồi.,ði bəʊɫ is ɔːl.ˈməʊst fʊl
345,The stalks grow high.,Thân cây mọc cao.,ði stalks ɡɹəʊ haɪ
346,I sit on the sofa.,Tớ ngồi trên ghế sofa.,aɪ sɪt ɒn ði ˈsəʊfə
347,I hold a toy rabbit in my arm.,Tớ giữ con thỏ đồ chơi ở trong tay mình.,aɪ həʊld æɪ tɔɪ ˈɹæbət ɪn mi ɑːm
348,I wonder where Mommy has gone.,Tớ tự hỏi không biết mẹ đi đâu rồi.,aɪ ˈwʌndə wɛə(ɹ) mommy has gone
349,I hop about.,Tớ nhảy lò cò.,i hop about
350,Mommy comes back.,Mẹ đã quay về.,mommy comes back
351,I’m happy.,Tớ rất vui.,aɪ m /ˈhæpiː/
352,I have dinner.,Tớ ăn tối.,aɪ have ˈdɪnə
353,I wear my yellow bib.,Tớ đeo cái yếm màu vàng.,aɪ wɛə mi jɛlə bɪb
354,I eat rice a lot.,Tớ ăn rất nhiều cơm.,aɪ iːt ɹaɪs æɪ lɒt
355,I set the table.,Tớ chuẩn bị bàn ăn.,aɪ sɛt ði /ˈteɪbəl/
356,I spread the tablecloth over the table.,Tớ trải khăn trải bàn.,aɪ spɹɛd ði tablecloth /ˈəʊ.və(ɹ)/ ði /ˈteɪbəl/
357,I have a party today.,Tớ có một bữa tiệc hôm nay.,aɪ have æɪ ˈpɑ(ː)ɾi təˈdeɪ
358,I put the flowers on the table.,Tớ đặt hoa lên bàn.,aɪ pʊt ði ˈflaʊ.əz ɒn ði table
359,The flowers are beautiful.,Hoa rất đẹp.,the flowers are beautiful
360,I put them at the center of the table.,Tớ để hoa vào chính giữa bàn.,i put them at the center of the table
