stt,en,vi,ipa
621,She holds a menu.,Cô ấy đang cầm một bảng thực đơn.,she holds a menu
622,I sit down and look at the menu.,Tôi ngồi xuống và nhìn vào thực đơn.,i sit down and look at the menu
623,The waitress served a glass of water and a towel first.,Người bồi bàn phục vụ tôi một cốc nước và một chiếc khăn.,ði waitress sɜːvd æɪ ɡlɑːs ɔv ˈwoːtə and æɪ taʊl fɪrst
624,What shall I have?,Tôi nên ăn gì đây?,wɔt /ˈʃæl/ aɪ have
625,I order a drink.,Tôi gọi đồ uống.,aɪ /ˈɔːdə/ æɪ dɹɪŋk
626,I give my order to the waitress.,Tôi bảo cho người bồi bàn đồ uống tôi muốn dùng.,aɪ ɡɪv mi /ˈɔːdə/ tʉː ði waitress
627,I’ll give a soda.,Tôi sẽ uống soda.,i ll give a soda
628,I order my dinner.,Tôi gọi đồ ăn cho bữa tối.,i order my dinner
629,"I’d like spaghetti and a salad, please.",Tôi muốn ăn spaghetti và rau trộn.,i d like spaghetti and a salad please
630,The waitress takes my order.,Người bồi bàn nhận thực đơn gọi món của tôi.,the waitress takes my order
631,I make a toast with my friend.,Tôi cụng ly với bạn của mình.,i make æɪ təʊst with mi fɹɛnd
632,She wears a nice green suit.,Cô ấy mặc 1 bộ quần áo màu xanh.,ʃiː wɛəz æɪ naɪs ɡɹiːn s(j)uːt
633,We say “cheers”.,Chúng Tôi nói “Vui vẻ!”,wiː seɪ /tʃɪəz/
634,I pay the bill.,Tôi thanh toán hóa đơn.,aɪ peɪ ði bɪl
635,I take a ten thousand yen bill out of my wallet.,Tôi lấy 10 yên ra khỏi ví.,aɪ teɪk æɪ tɛn ˈθaʊzənd jɛn bɪl out of my wallet
636,I treat her.,Tôi đãi cô ấy.*Yên: đơn vị tiền tệ của Nhật Bản,i treat her
637,I get my change.,Tôi nhận lại tiền thừa.,i get my change
638,The waitress hands it to me.,Người bồi bàn đưa tiền thừa cho tôi.,the waitress hands it to me
639,I put the change in my wallet.,Tôi cho tiền thừa vào ví.,i put the change in my wallet
640,I relax in the chair.,Tôi thư giãn trên ghế.,i relax ɪn ði t͡ʃɛə(ɹ)
