stt,en,vi,ipa
41,I wear my swimsuit and bathing cap.,Tớ mặc bộ đồ bơi và mũ tắm.,i wear my swimsuit and bathing cap
42,I can swim very well.,Tớ có thể bơi rất tốt.,i can swim very well
43,I eat ice cream.,Tớ ăn kem.,i eat ice cream
44,I’m hot.,Tớ thấy nóng.,i m hot
45,I’m sweating.,Tớ đang đổ mồ hôi.,i m sweating
46,I turn on the water.,Tớ mở nước.,aɪ tɜːn ɒn ði ˈwoːtə
47,I run the water.,Tớ cho nước chảy.,aɪ ɹʊn ði ˈwoːtə
48,I look at the water running.,Tớ nhìn nước chảy.,aɪ look at ði ˈwoːtə ˈɹʌnɪŋ
49,I turn off the water.,Tớ khóa nước lại.,aɪ tɜːn ɔːf ði ˈwoːtə
50,I save water.,Tớ tiết kiệm nước.,aɪ seɪv ˈwoːtə
51,Water is important.,Nước rất quan trọng.,ˈwoːtə is ɪmˈpɔːtənt
52,I put some soap in the washing machine.,Tớ đổ một chút xà phòng vào máy giặt.,aɪ pʊt sɐm səʊp ɪn ði ˈwɒʃɪŋ məˈʃin
53,I put in too much soap.,Tớ lỡ đổ quá nhiều xà phòng.,aɪ pʊt ɪn tuː mʌt͡ʃ səʊp
54,I do the laundry.,Tớ giặt đồ,aɪ dʉː ði ˈlɑn.dɹi
55,I put in dirty clothes.,Tớ cho quần áo bẩn vào.,aɪ pʊt ɪn ˈdɜːti kləʊ(ð)z
56,There are so many dirty clothes.,Có rất nhiều quần áo bẩn.,ðeː(ɹ) ɛə səʊ ˈmæni ˈdɜːti kləʊ(ð)z
57,I shouldn’t put in many clothes.,Tớ không nên cho quá nhiều quần áo vào máy giặt.,aɪ shouldn t pʊt ɪn ˈmæni clothes
58,I turn on the switch.,Tớ bật công tắc.,i turn on the switch
59,The washing machine starts working.,Máy giặt bắt đầu hoạt động.,the washing machine starts working
60,It’s noisy.,Nó rất ồn.,it s noisy
