stt,en,vi,ipa
361,I carry the dish with two hands.,Tớ bê đĩa bằng hai tay.,i carry the dish with two hands
362,It looks delicious.,Nó trông rất ngon.,it looks delicious
363,I help Mommy to prepare for the party.,Tớ giúp mẹ chuẩn bị bữa tiệc.,aɪ hɛlp mommy tʉː pɹɪˈpɛə for ði ˈpɑ(ː)ɾi
364,I sit on the chair.,Tớ ngồi lên ghế.,aɪ sɪt ɒn ði t͡ʃɛə(ɹ)
365,I’m sitting still.,Tớ vẫn đang ngồi.,aɪ m ˈsɪtɪŋ stɪl
366,I’m well-mannered.,Tớ rất lịch sự.,aɪ m wɛl mannered
367,I take a bath.,Tớ đi tắm.,aɪ teɪk æɪ bɐːθ
368,I’m naked.,Tớ đang không mặc gì.,aɪ m ˈnɛkɪd
369,I take my toy with me.,Tớ mang theo đồ chơi của mình.,aɪ teɪk mi tɔɪ with /miː/
370,I shampoo my sister’s hair.,Tớ gội đầu cho em gái.,aɪ ʃamˈpuː mi ˈsɪs.tə s heː
371,She looks like she feels better.,Có vẻ như em ấy đang cảm thấy tốt hơn.,ʃiː lʊks laɪk ʃiː fiːlz better
372,She has short hair.,Em ấy có tóc ngắn.,she has short hair
373,I feel better.,Tớ cảm thấy dễ chịu hơn.,i feel better
374,The toy duck is floating around me.,Con vịt đồ chơi đang nổi bồng bềnh quanh người tớ.,the toy duck is floating around me
375,I count twenty with my body soaked.,Tớ ngâm mình trong nước và đếm đến 20.,i count twenty with my body soaked
376,I dry my body.,Tớ lau khô người.,i dry mi ˈbɒdi
377,I feel warm.,Tớ thấy ấm.,aɪ fiːl wɔːm
378,I wrap myself in a bathtowel.,Tớ quấn người mình bằng một chiếc khăn tắm.,aɪ ɹæp maɪˈsɛlf ɪn æɪ bathtowel
379,I weigh myself on the scale.,Tớ cân.,aɪ weɪ maɪˈsɛlf ɒn ði skeɪl
380,I look at the scale.,Tớ nhìn vào cân.,aɪ look at ði skeɪl
