stt,en,vi,ipa
81,I use the rolling pin.,Tớ dùng cây lăn bột.,i use the rolling pin
82,I leave the table.,Tớ rời khỏi bàn.,i leave the table
83,I finish setting the table.,Tớ đã sắp xếp bàn ăn xong.,i finish setting the table
84,Lunch is ready.,Bữa trưa đã sẵn sàng.,lʌnt͡ʃ is ˈɹɛdi
85,I finish my bowl.,Tớ đã ăn xong phần của mình.,aɪ ˈfɪnɪʃ mi bəʊɫ
86,It’s very tasty.,Nó rất ngon.,ɪt s ˈvɛɹi ˈteɪsti
87,I like noodles.,Tớ thích ăn mì.,aɪ laɪk ˈnuːd(ə)lz
88,I take a nap.,Tớ nghỉ trưa.,aɪ teɪk æɪ nap
89,My cat takes a nap too.,Mèo của tớ cũng nghỉ trưa.,mi kat teɪks æɪ nap tuː
90,I put a blanket on my tummy.,Tớ đắp chăn lên bụng của mình.,aɪ pʊt æɪ ˈblæŋkɪt ɒn mi ˈtʌm.i
91,I go into my room.,Tớ đi vào phòng mình.,aɪ ɡəʉ ˈɪn.tuː mi ɹuːm
92,I open the door.,Tớ mở cửa.,aɪ ˈəʊ.pən ði dɔː
93,I have a soccer ball in my room.,Tớ có 1 quả bóng đá trong phòng của mình.,aɪ have æɪ soccer ball in my room
94,I change my shirt.,Tớ thay áo.,i change my shirt
95,It’s a purple shirt with black stripes.,Đó là một chiếc áo tím kẻ sọc.,it s a purple shirt with black stripes
96,I feel nice with the clean shirt.,Tớ cảm thấy dễ chịu với chiếc áo sạch sẽ.,i feel nice with the clean shirt
97,I play with water.,Tớ nghịch nước.,i play with water
98,There is a yatch and a ship in my basin.,Có một chiếc thuyền và một chiếc tàu ở trong bồn nước của tớ.,ðeː(ɹ) is æɪ yatch and æɪ ʃɪp ɪn mi ˈbeɪsɪn
99,It’s fun to play with a water pistol.,Thật thú vị khi chơi với một khẩu súng nước.,ɪt s fʊn tʉː pleɪ with æɪ ˈwoːtə ˈpɪstəl
100,I watch out for cars.,Tớ để ý những chiếc xe hơi.,aɪ wɒt͡ʃ æɔt for ˈkɑːz
