stt,en,vi,ipa
521,I put the soap on my hand.,Tớ cho xà phòng vào tay.,aɪ pʊt ði səʊp on my hand
522,The water is running down.,Nước đang chảy xuống.,the water is running down
523,I dry my hands with a towel.,Tớ lau tay khô bằng một chiếc khăn.,i dry my hands with a towel
524,I hang the towel.,Tớ phơi khăn lên.,i hang the towel
525,Now my hands are clean.,Giờ thì tay tớ đã sạch rồi.,now my hands are clean
526,I dig a tunnel through the watermelon.,Tớ khoét một cái lỗ trong quả dưa hấu.,i dɪɡ æɪ ˈtʌn(ə)l θɹuː ði ˈwɔːtəˌmɛlən
527,I dig it with a fork.,Tớ khoét bằng một cái dĩa.,aɪ dɪɡ ɪt with æɪ fɔːk
528,I take the seeds off too.,Tớ gẩy hết hạt dưa đi.,aɪ teɪk ði siːdz ɔːf tuː
529,I look through the hole.,Tớ nhìn qua cái lỗ.,aɪ look θɹuː ði /həʊl/
530,I’ll eat all of it by myself.,Tớ sẽ ăn hết chỗ này.,aɪ ll iːt ɔːl ɔv it by myself
531,I make a big hole.,Tớ khoét một cái lỗ rất to.,i make a big hole
532,I wear glasses.,Tớ đeo kính.,i wear glasses
533,They’re too big for me.,Nó quá to so với tớ.,they re too big for me
534,I have good eyesight.,Tớ có thị lực rất tốt.,i have good eyesight
535,I go to the zoo.,Tớ đi đến sở thú.,i go tʉː ði zuː
536,I go through the gate.,Tớ đi xuyên qua cổng.,aɪ ɡəʉ θɹuː ði ɡeɪt
537,I can see various animals at the zoo.,Tớ có thể nhìn thấy rất nhiều loại động vật khác nhau trong sở thú.,aɪ ˈkæn siː ˈvɛə.ɹi.əs ˈæn.ɪ.məlz at ði zuː
538,I take chocolate and cookies with me.,Tớ mang theo sô-cô-la và bánh quy.,aɪ teɪk ˈt͡ʃɔk(ə)lət and ˈkʊkiz with /miː/
539,I love sweets.,Tớ thích kẹo.,aɪ lʊv sweets
540,I take the sweets out of my bag.,Tớ lấy kẹo ra khỏi túi.,aɪ teɪk ði sweets æɔt ɔv my bag
