stt,en,vi,ipa
641,I change into more comfortable clothes.,Tôi đã thay một bộ quần áo thoải mái hơn.,aɪ tʃeɪndʒ ˈɪn.tuː ˈmɔː ˈkʌm.fə.tə.bəl kləʊ(ð)z
642,I drink a cup of coffee.,Tôi uống 1 tách cà phê.,aɪ dɹɪŋk æɪ kʌp ɔv ˈkɑ.fi
643,I read a letter.,Tôi đọc một lá thư.,aɪ ɹiːd æɪ -ɾə(ɹ)
644,It’s from my friend.,Nó đến từ một người bạn của tôi.,ɪt s fɹɒm mi fɹɛnd
645,She’s on a trip to Hawaii.,Cô ấy đang có một chuyến đi đến Hawaii.,ʃiː s on a trip to hawaii
646,I turn on the television.,Tôi mở ti-vi.,i turn on the television
647,I use the remote control to turn it on.,Tôi dùng điều khiển để mở ti-vi.,i use the remote control to turn it on
648,What’s on tonight?,Tối nay có chương trình gì?,what s on tonight
649,I change channels.,Tôi chuyển kênh.,i change channels
650,I don’t feel like watching comedy now.,Tôi không cảm thấy thích xem hài kịch lúc này.,aɪ dɒn t fiːl laɪk ˈwɒtʃɪŋ ˈkɒmədi naʊ
651,I continue to change channels.,Tôi tiếp tục chuyển kênh.,aɪ kənˈtɪnjuː tʉː tʃeɪndʒ ˈtʃænəlz
652,I watch a movie.,Tôi xem một bộ phim.,aɪ wɒt͡ʃ æɪ ˈmuːvi
653,I like movies.,Tôi thích phim.,aɪ laɪk movies
654,It’s just started.,Nó vừa mới bắt đầu thôi.,ɪt s d͡ʒʌst ˈstɑːtɪd
655,I look at the clock.,Tôi nhìn đồng hồ.,aɪ look at ði klɒk
656,It’s already 9 o’clock.,Đã 9 giờ rồi.,ɪt s ɑlˈɹɛdi əʊ clock
657,Time goes by quickly.,Thời gian trôi thật nhanh.,time goes by quickly
658,I take a shower.,Tôi đi tắm.,i take a shower
659,The hot water comes out from the shower.,Nước nóng xả ra từ vòi hoa sen.,the hot water comes out from the shower
660,I feel good.,Tôi cảm thấy rất thư giãn.,i feel good
