stt,en,vi,ipa
221,They are yellow tulips.,Chúng là những bông hoa tuy-lip màu vàng.,they are yellow tulips
222,I count them.,Tớ đếm chúng.,i count them
223,I pick flowers.,Tớ hái hoa.,aɪ pɪk ˈflaʊ.əz
224,I want to give them to Mommy.,Tớ muốn tặng hoa cho mẹ.,aɪ wɔnt tʉː ɡɪv /ðʌm/ tʉː mommy
225,Mommy will be glad.,Mẹ sẽ rất vui.,mommy wɪl be ɡlæd
226,I hold Mommy’s hand.,Tớ cầm tay mẹ.,aɪ həʊld mommy s hænd
227,Her hand is warm.,Tay mẹ rất ấm.,ə(ɹ) hænd is wɔːm
228,We go shopping.,Tớ và mẹ đi mua sắm.,wiː ɡəʉ ˈʃɒpɪŋ
229,I hurt my knee.,Tớ làm đau đầu gối.,aɪ hɜːt mi niː
230,I tripped over a stone.,Tớ vấp phải một hòn đá.,aɪ tɹɪpt /ˈəʊ.və(ɹ)/ æɪ stɐʉn
231,It hurts a lot.,Nó rất đau.,ɪt hɜːts æɪ lɒt
232,I eat ozoni.,Tớ ăn súp ozoni.,aɪ iːt ozoni
233,It’s yummy.,Nó rất ngon.,ɪt s ˈjʌm.i
234,I can use my chopsticks well.,Tớ có thể dùng đũa rất thành thạo.* Ozoni: một một súp truyền thống của Nhật Bản.,aɪ ˈkæn use mi chopsticks wɛl
235,"I put flour, water and eggs in the bowl.","Tớ cho bột mì, nước và trứng vào trong 1 cái bát.",aɪ pʊt ˈflaʊə ˈwoːtə and ɛɡz ɪn ði bowl
236,I’m breaking an egg.,Tớ đập một quả trứng.,i m breaking an egg
237,I’m a good cook.,Tớ là một người nấu ăn giỏi.,i m a good cook
238,I stir them.,Tớ khuấy chúng lên.,i stir them
239,I use a whisk.,Tớ dùng một cái máy đánh trứng.,i use a whisk
240,I need much power to stir them.,Tớ cần dùng nhiều sức để khuấy.,i need much power to stir them
