stt,en,vi,ipa
261,I can’t take a bus without money.,Tớ không thể bắt xe buýt mà không có tiền được.,aɪ ˈkæn t teɪk æɪ bɐs wɪθˈʌʊt ˈmʌni
262,I draw the curtains.,Tớ kéo rèm.,aɪ dɹɔː ði ˈkɜː(ɹ).tənz
263,It’s getting dark.,Trời trở nên tối hơn.,ɪt s ˈɡɛɾɪŋ dɑːk
264,I see a lot of people going home.,Tớ nhìn thấy rất nhiều người đang trên đường về nhà.,aɪ siː æɪ lɒt ɔv ˈpiːpəl ˈɡəʊɪŋ (h)əʊm
265,I lock the door.,Tớ khóa cửa.,aɪ lɒk ði dɔː
266,I insert the key in the lock.,Tớ cho chìa khóa vào ổ khóa.,aɪ ɪnˈsɜːt ði kiː ɪn the lock
267,Don’t forget to lock the door before you go out.,Đừng quên khóa cửa trước khi bạn ra ngoài nhé.,don t forget to lock the door before you go out
268,I put coins into the ticket machine.,Tớ cho đồng xu vào máy bán vé.,i put coins into the ticket machine
269,I know how to get the ticket.,Tớ biết cách làm thế nào để lấy vé.,i know how to get the ticket
270,There are always so many people in the station.,Luôn luôn có rất nhiều người ở nhà ga (trạm).,there are always so many people in the station
271,I push the button.,Tớ ấn nút.,aɪ pʷʊʃ ði ˈbʌtn̩
272,"Then, the ticket comes out of the machine.",Sau đó tấm vé sẽ ra khỏi chiếc máy.,ðen ði ˈtɪkɪt kʌmz æɔt ɔv ði /məˈʃin/
273,I only have to pay half the price.,Tớ chỉ phải trả một nửa giá tiền thôi.,aɪ ˈəʊn.li have tʉː peɪ hɑːf ði pɹaɪs
274,I put the ticket in my pocket.,Tớ cho vé vào túi quần.,aɪ pʊt ði ˈtɪkɪt ɪn mi /ˈpɒkɪt/
275,I must remember where I put it.,Tớ phải nhớ nơi tớ để vé.,aɪ must ɹɪˈmɛmbə wɛə(ɹ) aɪ put it
276,I had my ticket punched.,Vé của tớ đã được đục lỗ.,i had my ticket punched
277,I run around in the train.,Tớ chạy vòng quanh trên tàu hỏa.,i run around in the train
278,Nobody sits here.,Không có ai ngồi ở đây cả.,nobody sits here
279,"Wow, it’s a lot of fun.","Ồ, thật nhiều điều thú vị.",wow it s a lot of fun
280,I get off the train.,Tớ ra khỏi tàu.,i get off ði tɹeɪn
