stt,en,vi,ipa
441,There is a picture on the wall too.,Có một bức tranh cũng được treo ở trên tường.,ðeː(ɹ) is æɪ ˈpɪktʃə ɒn ði wɔːl tuː
442,I get mad.,Tớ nổi giận.,aɪ ɡɛt ˈmæːd
443,I’m flushed with anger.,Mặt tớ đỏ bừng vì cơn giận.,aɪ m flʌʃt with ˈæŋɡə(ɹ)
444,I clench my fists.,Tớ nắm chặt hai nắm đấm.,aɪ klɛntʃ mi fɪsts
445,I show a picture story.,Tớ đưa ra một bức tranh trong một câu chuyện.,aɪ ʃəʊ æɪ ˈpɪktʃə ˈstɔː.ɹi
446,I put the pictures on the desk.,Tớ để bức tranh lên bàn.,aɪ pʊt ði ˈpɪktʃɚz ɒn ði dɛsk
447,I read the story in a very amusing way.,Tớ đọc truyện theo một cách rất vui vẻ.,aɪ ɹiːd ði ˈstɔː.ɹi ɪn æɪ very amusing way
448,I take my shirt out of the basket.,Tớ lấy áo ra khỏi giỏ.,i take my shirt out of the basket
449,Which is my shirt?,Cái nào là áo của tớ?,which is my shirt
450,I pick a blue shirt.,Tớ nhặt chiếc áo màu xanh lên.,i pick a blue shirt
451,I ask Mommy.,Tớ hỏi mẹ.,i ask mommy
452,She is reading a magazine.,Mẹ đang đọc báo.,ʃiː is ˈɹidiŋ æɪ mæɡəˈziːn
453,She knows a lot of things.,Mẹ biết rất nhiều điều.,ʃiː nəʊz æɪ lɒt ɔv θɪŋz
454,I put on my make-up.,Tớ trang điểm.,aɪ pʊt ɒn mi meɪk ap
455,I put some lipstick on my lips.,Tớ tô son.,aɪ pʊt sɐm ˈlɪpˌstɪk ɒn mi lɪps
456,I mess up the room with cosmetics.,Tớ làm phòng bừa bộn với đồ mĩ phẩm của mình.,aɪ mɛs ap ði ɹuːm with cosmetics
457,I imitate the sumo wrestler.,Tớ bắt chước theo võ si sumo.,aɪ ˈɪmɪteɪt ði sumo wrestler
458,He is fat.,Chú ấy rất béo.,he is fat
459,He looks strong.,Chú ấy trông rất khỏe.,he looks strong
460,I pile up the blocks.,Tớ xếp hình khối.,i pile up the blocks
