stt,en,vi,ipa
841,The clothes go round in it.,Quần áo quay tròn trong cái máy.,ði kləʊ(ð)z ɡəʉ ˈɹaʊnd ɪn ɪt
842,The dryer is set above the washing machine.,Máy sấy được thiết kế ngay trên máy giặt.,ði ˈdɹaɪə is sɛt əˈbʌv the washing machine
843,I put the clothes in the basket.,Tôi bỏ quần áo vào giỏ.,i put the clothes in the basket
844,I take them out of the dryer.,Tôi lấy quần áo ra khỏi máy.,i take them out of the dryer
845,The clothes are warm.,Quần áo vẫn còn ấm.,the clothes are warm
846,I take the sheet off the bed.,Tôi lấy ga ra khỏi giường.,i take the sheet off the bed
847,I wash the sheet.,Tôi giặt ga giường.,aɪ wɑʃ ði ʃiːt
848,I change the sheets.,Tôi thay ga khác vào.,aɪ tʃeɪndʒ ði ʃiːts
849,I spread the clean sheet over the bed.,Tôi trải tấm ga sạch lên giường.,aɪ spɹɛd ði kleːn ʃiːt /ˈəʊ.və(ɹ)/ ði bed
850,The clean sheet makes me feel fresh.,Tấm ga sạch làm tôi cảm thấy rất mát mẻ.,ði kleːn ʃiːt meɪks /miː/ fiːl fɹɛʃ
851,I make the bed.,Tôi dọn giường.,aɪ meɪk ði bed
852,I take out the garbage.,Tôi đi vứt rác.,aɪ teɪk æɔt ði ˈɡɑːbɪd͡ʒ
853,The garbage is in a black plastic bag.,Rác được đựng trong túi bóng đen.,ði ˈɡɑːbɪd͡ʒ is ɪn æɪ blak ˈplæstɪk ˈbæːɡ
854,I hold the garbage can in my arm.,Tôi giữ thùng rác trên tay.,aɪ həʊld ði ˈɡɑːbɪd͡ʒ ˈkæn ɪn mi ɑːm
855,I empty the garbage can.,Tôi đổ hết rác.,aɪ ˈɛmpti ði ˈɡɑːbɪd͡ʒ can
856,I turn the can upside down.,Tôi dốc ngược thùng rác.,i turn the can upside down
857,The trash comes out.,Rác rơi hết ra ngoài.,the trash comes out
858,I untie the apron strings.,Tôi tháo tạp dề.,i untie the apron strings
859,I finish cleaning.,Tôi đã dọn dẹp xong.,i finish cleaning
860,I’m tired.,Tôi rất mệt.,i m tired
