stt,en,vi,ipa
861,I take off the apron.,Tôi bỏ tạp dề ra.,aɪ teɪk ɔːf ði ˈeɪ.pɹən
862,I fold it.,Tôi gập nó.,aɪ fəʊld ɪt
863,What shall I do next?,Tôi nên làm gì tiếp theo đây?,wɔt /ˈʃæl/ aɪ dʉː nɛkst
864,I lie down on the sofa.,Tôi nằm lên ghế sofa.,aɪ laɪ̯ daʊn ɒn ði ˈsəʊfə
865,I take a rest.,Tôi nghỉ ngơi.,aɪ teɪk æɪ ɹɛst
866,I close my eyes.,Tôi nhắm mắt lại.,aɪ kləʊz mi aɪz
867,I take off the tub covers.,Tôi mở bồn tắm ra.,aɪ teɪk ɔːf ði tʌb /ˈkʌvəz/
868,The steam goes up.,Hơi nước bốc lên.,ði stiːm ɡəʊz ap
869,I put the covers aside.,Tôi đề nắp bồn sang bên cạnh.,aɪ pʊt ði /ˈkʌvəz/ əˈsaɪd
870,I scoop up the hot water with the washbowl.,Tôi múc nước nóng bằng một cái gáo.,aɪ skuːp ap ði hɒt ˈwoːtə with ði washbowl
871,I stir the hot water.,Tôi khuấy nước nóng.,aɪ stɜː ði hɒt ˈwoːtə
872,I pour the water on the body.,Tôi dội nước lên người.,aɪ pɔː ði ˈwoːtə ɒn ði ˈbɒdi
873,I put soap on a washcloth.,Tôi cho xà bông vào khăn tắm.,aɪ pʊt səʊp ɒn a washcloth
874,It lathers very well.,Nó có rất nhiều bọt.,it lathers very well
875,I wash my body.,Tôi tắm.,i wash my body
876,I scrub my legs.,Tôi kì chân.,i scrub my legs
877,I’m washing my right knee.,Tôi rửa chân phải.,i m washing my right knee
878,I rinse out my body.,Tôi tắm rửa thật sạch.,i rinse out mi ˈbɒdi
879,I soak in the bathtub.,Tôi ngâm mình vào bồn tắm.,aɪ /səʊk/ ɪn ði ˈbæθtʊb
880,I’m dozing off in the bathtub.,Tôi ngủ gật trong bồn tắm.,aɪ m dozing ɔːf ɪn ði ˈbæθtʊb
