stt,en,vi,ipa
281,I jump onto the platform.,Tớ nhảy lên sân ga.,aɪ dʒʌmp ˈɒn.tuː ði ˈplætfɔːm
282,The train is going to pull out.,Tàu sẽ chạy qua một bên.,ði tɹeɪn is ˈɡəʊɪŋ tʉː pʊl æɔt
283,I give my ticket to the station employee.,Tớ đưa vé cho nhân viên soát vé của nhà ga.,aɪ ɡɪv mi ˈtɪkɪt tʉː ði ˈsteɪʃən (ˌ)ɪm-
284,He wears a blue uniform.,Chú ấy mặc đồng phục màu xanh.,heɪː wɛəz æɪ bluː ˈjuːnɪfɔːm
285,I want to become a station employee too.,Tớ cũng muốn trở thành nhân viên nhà ga.,aɪ wɔnt tʉː bəˈkʊm æɪ station employee too
286,I wait for the flower to bloom.,Tớ chờ hoa nở.,i wait for the flower to bloom
287,It has a pink bulb.,Nó có nụ màu hồng.,it has a pink bulb
288,I planted seeds in this flower pot.,Tớ đã gieo hạt vào chiếc bình hoa này.,i planted seeds in this flower pot
289,I take the toy away from my friend.,Tớ giật đồ chơi khỏi tay bạn tớ.,i take the toy away from my friend
290,He wants to play with it too.,Cậu ấy cũng muốn chơi.,heɪː wɒnts tʉː pleɪ with ɪt tuː
291,He tries to get it back.,Cậu ấy cố gắng tìm cách lấy nó lại.,heɪː tɹaɪz tʉː ɡɛt ɪt bæk
292,I share my toy with Yukio.,Tớ chia sẻ đồ chơi với Yukio.,aɪ ʃɛə mi tɔɪ with yukio
293,We should be kind to friends.,Chúng ta nên tử tế với bạn bè.,wiː /ʃʊd/ be kaɪnd tʉː fɹɛn(d)z
294,He is glad.,Cậu ấy rất vui.,heɪː is ɡlæd
295,I play with blocks.,Tớ chơi với các khối xếp hình.,aɪ pleɪ with blɒks
296,I want to stack the blocks as tall as I am.,Tớ muốn xếp chồng các hình khối cao như tớ.,aɪ wɔnt tʉː stack the blocks as tall as i am
297,There’re many kinds of shapes of blocks.,Có rất nhiều hình khối có hình dạng khác nhau.,there re many kinds of shapes of blocks
298,I finish the puzzle.,Tớ đã xếp hình xong.,i finish the puzzle
299,I put the last piece in the center of it.,Tớ xếp mảnh ghép cuối cùng vào giữa bức tranh.,i put the last piece in the center of it
300,It turned out to be a purple car.,Nó đã trở thành một chiếc xe hơi màu tím.,it turned out to be æɪ ˈpɜː(ɹ).pəl kɑː
