stt,en,vi,ipa
1,I get up.,Tớ thức dậy.,aɪ ɡɛt ap
2,I’m yawning.,Tớ đang ngáp.,aɪ m yawning
3,I’m sleepy.,Tớ đang buồn ngủ.,aɪ m ˈsliːpi
4,I wash my face.,Tớ rửa mặt.,aɪ wɑʃ mi feɪs
5,The water is cold.,Nước rất lạnh.,ði ˈwoːtə is kɔʊld
6,I can’t open my eyes.,Tớ không thể mở mắt.,aɪ ˈkæn t ˈəʊ.pən mi aɪz
7,I drink some milk.,Tớ uống 1 chút sữa.,aɪ dɹɪŋk sɐm mɛlk
8,I like milk.,Tớ thích sữa.,aɪ laɪk mɛlk
9,I eat toast.,Tớ ăn bánh mì nướng.,aɪ iːt təʊst
10,I wipe my mouth.,Tớ lau miệng.,aɪ waɪp mi mʌʊθ
11,The toast and the milk are good.,Bánh mì nướng và sữa rất ngon.,ði təʊst and ði mɛlk ɛə ɡʊ(d)
12,I’m getting full.,Tớ no rồi.,aɪ m ˈɡɛɾɪŋ fʊl
13,I take off my pajamas.,Tớ cởi quần áo ngủ.,aɪ teɪk off my pajamas
14,I finish my breakfast.,Tớ đã ăn sáng xong.,i finish my breakfast
15,What shall I wear?,Tớ nên mặc gì đây?,what shall i wear
16,I put on my clothes.,Tớ mặc quần áo.,i put on my clothes
17,I wear my underpants.,Tớ mặc quần chíp.,i wear my underpants
18,I can’t see anything now.,Lúc này tớ không thể nhìn thấy gì cả.,i can t see anything now
19,I put on my pink blouse.,Tớ mặc chiếc áo hồng.,aɪ pʊt ɒn mi pɪŋk blaʊs
20,I button up my blouse.,Tớ cài cúc áo.,aɪ ˈbʌtn̩ ap mi blaʊs
