stt,en,vi,ipa
461,I put the tringle block on top of it.,Tớ đặt hình tam giác lên trên cùng.,i put the tringle block on top of it
462,I pick the blocks from the box.,Tớ nhặt các khối hình từ hộp ra.,i pick the blocks from ði /bɒks/
463,I make a story house.,Tớ xếp thành một ngôi nhà.,aɪ meɪk æɪ ˈstɔː.ɹi hʌʊs
464,It’s a big colorful house.,Đó là một ngôi nhà rất nhiều sắc màu.,ɪt s æɪ bɪɡ ˈkʌləfəl hʌʊs
465,I want to live in such a house.,Tớ muốn sống trong một ngôi nhà như vậy.,aɪ wɔnt tʉː lɪv ɪn sʌt͡ʃ æɪ hʌʊs
466,I reach for a block.,Tớ với lấy khối hình.,aɪ ɹiːt͡ʃ for æɪ /blɒk/
467,The block is rolling on.,Khối hình đang lăn đi.,ði /blɒk/ is ˈɹəʊlɪŋ ɒn
468,I crawl to get it.,Tớ bò theo để lấy nó.,aɪ kɹɔl to get it
469,I put three marbles under the number 3.,Tớ đặt ba viên bi dưới số 3.,i put three marbles under the number
470,There are numbers 1 to 5 on the paper.,Có các số đếm từ 1 đến 5 trên tờ giấy.,there are numbers to on the paper
471,I study Math.,Tớ học Toán.,i study math
472,I count the marbles.,Tớ đếm những viên bi.,i count the marbles
473,There are ten marbles on the table.,Có 10 viên bi trên bàn.,there are tɛn marbles ɒn ði /ˈteɪbəl/
474,I put five marbles in each line.,Tớ xếp mỗi hàng 5 viên bi.,aɪ pʊt fɑev marbles ɪn iːt͡ʃ laɪn
475,I write on the board.,Tớ viết lên bảng.,aɪ ɹaɪt ɒn ði bɔːd
476,I write with a piece of chalk.,Tớ viết bằng một mẩu phấn.,aɪ ɹaɪt with æɪ piːs ɔv t͡ʃɔːk
477,I write it large.,Tớ viết thật to.,aɪ write it large
478,I fall off the stool.,Tớ ngã khỏi ghế.,i fall off the stool
479,I lost my balance.,Tớ bị mất thăng bằng.,i lost my balance
480,Help me!,Giúp tớ với!,help me
