stt,en,vi,ipa
741,I go through the fish section.,Tôi đi qua quầy cá.,aɪ ɡəʉ θɹuː ði fɪʃ ˈsɛkʃən
742,I glance at the packages.,Tôi liếc nhìn những gói cá.,aɪ /ɡlɑːns/ at ði packages
743,I don’t need fish today.,Hôm nay tôi không cần ăn cá.,aɪ dɒn t niːd fish today
744,I take a six-pack of juice.,Tôi lấy 6 hộp nước ép hoa quả.,i take a six pack of juice
745,They are selling it at a special price today.,Họ đang bán nó với một mức giá đặc biệt trong ngày hôm nay.,they are selling it at a special price today
746,I go to the cashier.,Tôi đi đến chỗ thu ngân.,i go to the cashier
747,I look at the receipt.,Tôi nhìn vào hóa đơn.,i look at the receipt
748,I check what I bought.,Tôi kiểm tra những gì mình đã mua.,aɪ t͡ʃɛk wɔt aɪ bɔːt
749,I spent a lot of money.,Tôi đã chi rất nhiều tiền.,aɪ ˈspɛnt æɪ lɒt ɔv ˈmʌni
750,I go out of the store with the groceries.,Tôi đi ra khỏi quầy hàng với rất nhiều hàng hóa.,aɪ ɡəʉ æɔt ɔv ði stɔː with ði ˈɡɹəʊs(ə)ɹiz
751,They are little heavy.,Chúng hơi nặng một chút.,ðeɪ ɛə ˈlɪ.ɾɫ̩ ˈhe.vi
752,I go home.,Tôi đi về nhà.,aɪ go home
753,I open the cupboard.,Tôi mở cửa tủ chạn.,i open the cupboard
754,I take the dishes out of the cupboard.,Tôi lấy đĩa ra khỏi tủ.,i take the dishes out of the cupboard
755,I’m preparing for our lunch.,Tôi chuẩn bị bữa trưa.,i m preparing for our lunch
756,I put the groceries on the table.,Tôi để đồ lên trên bàn.,i put the groceries on the table
757,I roll up my sleeves.,Tôi xắn tay áo.,aɪ ɹəʊl ap mi sliːvz
758,I prepare all the ingredients.,Tôi chuẩn bị mọi nguyên liệu.,aɪ pɹɪˈpɛə ɔːl ði ingredients
759,I tap an egg on the table.,Tôi đập một quả trứng lên bàn.,aɪ tæp æn eɪɡ ɒn ði /ˈteɪbəl/
760,The egg has a crack in the shell.,Quả trứng có một vết nứt trên vỏ.,ði eɪɡ has æɪ kɹæk ɪn ði ʃɛl
