stt,en,vi,ipa
661,I put on my pajamas.,Tôi mặc đồ ngủ.,i put on my pəˈd͡ʒæ.məz
662,I button up my pajamas.,Tôi cài khuy áo bộ đồ ngủ.,aɪ ˈbʌtn̩ ap mi pəˈd͡ʒæ.məz
663,I put a curler on my bangs.,Tôi cuộn lô lên tóc mái.,aɪ pʊt æɪ curler ɒn mi bæŋz
664,I keep myself warm.,Tôi giữ cho mình thật ấm.,aɪ kiːp maɪˈsɛlf wɔːm
665,I put my short robe on.,Tôi mặc chiếc áo choàng ngắn lên người.,aɪ pʊt mi ʃoːt ɹəʊb ɒn
666,I tie the strings in front.,Tôi thắt dây phía trước.,aɪ taɪ ði stɹɪŋz ɪn fɹʌnt
667,I set the alarm clock for seven.,Tôi đặt đồng hồ báo thức 7 giờ.,aɪ sɛt ði əˈlɑːm klɒk for ˈsɛv.ən
668,I don’t want to oversleep tomorrow.,Tôi không muốn sáng mai ngủ quên.,aɪ dɒn t want to oversleep tomorrow
669,This alarm is noisy.,Chuông báo này rất ồn.,this alarm is noisy
670,I turn off the light.,Tôi tắt điện.,i turn off the light
671,I put the alarm clock on the side table.,Tôi đặt chiếc đồng hộ báo thức ở bên cạnh bàn.,i put the alarm clock on the side table
672,I go to sleep at ten.,Tôi đi ngủ lúc 10 giờ.,i go to sleep at ten
673,I find a telephone boot.,Tôi tìm một cái bốt điện thoại.,aɪ faɪnd æɪ ˈtɛləfəʊn /buːt/
674,It’s empty now.,Bốt điện thoại đang trống.,ɪt s ˈɛmpti naʊ
675,I have to call the office.,Tôi gọi phải gọi đến văn phòng.,aɪ have tʉː /kɔːɫ/ ði /ˈɑfɪs/
676,I step outside.,Tôi bước tới phía ngoài.,aɪ stɛp outside
677,I pull the door closed.,Tôi kéo cửa đóng vào.,aɪ pʊl ði dɔː kləʊzd
678,I make a telephone call.,Tôi gọi điện thoại.,aɪ meɪk æɪ ˈtɛləfəʊn /kɔːɫ/
679,I reach into my pocket.,Tôi đưa tay vào túi áo.,aɪ ɹiːt͡ʃ ˈɪn.tuː mi /ˈpɒkɪt/
680,I feel in my pocket for a coin.,Tôi tìm đồng xu trong túi.,aɪ fiːl ɪn mi pocket for a coin
