stt,en,vi,ipa
421,I play the piano.,Tớ chơi đàn.,i play the piano
422,I practice it every day.,Tớ luyện tập mỗi ngày.,i practice it every day
423,I take a piano lesson once a week.,Tớ tham gia lớp học đàn piano mỗi tuần một lần.,i take a piano lesson once a week
424,I clap my hands.,Tớ vỗ tay.,aɪ klæp mi hæn(d)z
425,I watch a show.,Tớ xem một buổi trình diễn.,aɪ wɒt͡ʃ æɪ ʃəʊ
426,I clap my hands in time to the music.,Tớ vỗ tay theo nhạc.,aɪ klæp mi hæn(d)z ɪn tɑem tʉː ði ˈmjuːzɪk
427,I click my castanets.,Tớ bật chiêc castenet của tớ lên.,aɪ klɪk mi ˌkæs.tə.ˈnɛts
428,I spread my arms.,Tớ dang hai cánh tay.,aɪ spɹɛd mi ɑːmz
429,My next turn comes soon.,Sắp đến lượt tớ rồi.,mi nɛkst /tɜːn/ kʌmz suːn
430,I fold paper.,Tớ gấp giấy.,aɪ fəʊld ˈpeɪpə
431,I do origami.,Tớ gấp origami. ,aɪ dʉː ˌɒɹɪˈɡɑːmɪ
432,I make a triangle first.,"Đầu tiên, tớ gấp hình tam giác",aɪ meɪk æɪ ˈtɹaɪəŋɡəl fɪrst
433,I make a paper crane.,Tớ gấp một con hạc giấy.,aɪ meɪk æɪ ˈpeɪpə kɹeɪn
434,I made it very well.,Tớ gấp rất đẹp.,aɪ meɪd ɪt ˈvɛɹi wɛl
435,I have two more pieces of paper left.,Tớ còn hai tờ giấy nữa.,aɪ have tuː ˈmɔː ˈpiːsɪz of paper left
436,I fold paper in half.,Tớ gập giấy làm đôi.,i fold paper in half
437,It’s a big piece.,Đó là một mảnh giấy rất to.,it s a big piece
438,What shall I make next?,Tiếp theo tớ nên gập gì đây?,what shall i make next
439,I decorate the room with paper cranes.,Tớ trang trí phòng với những con hạc giấy.,i decorate the room with paper cranes
440,I hang it on the wall.,Tớ treo nó lên tường.,aɪ heɪŋ ɪt ɒn ði wɔːl
