stt,en,vi,ipa
301,I meet a friend.,Tớ gặp một người bạn.,aɪ miːt æɪ fɹɛnd
302,I wave to her.,Tớ vẫy cô ấy.,aɪ weɪv tʉː ə(ɹ)
303,We talk for a while.,Chúng tớ nói chuyện một lát.,wiː toːk for æɪ waɪl
304,I go shopping.,Tớ đi mua sắm.,aɪ ɡəʉ ˈʃɒpɪŋ
305,I get to the shop.,Tớ đến cửa hàng.,aɪ ɡɛt tʉː ði ʃɒp
306,I can see a lot of fruit.,Tớ nhìn thấy rất nhiều hoa quả.,aɪ ˈkæn siː æɪ lɒt ɔv fɹuːt
307,I hold a basket.,Tớ xách một chiếc giỏ.,aɪ həʊld æɪ ˈbaːskət
308,It’s big.,Nó rất to.,ɪt s bɪɡ
309,I carry it with both hands.,Tớ phải xách nó bằng cả hai tay.,aɪ ˈkæ.ɹi ɪt with bəʊθ hæn(d)z
310,I buy some bananas.,Tớ mua vài quả chuối.,aɪ baɪ sɐm bəˈnɑːnəz
311,I like bananas.,Tớ thích chuối.,aɪ laɪk bəˈnɑːnəz
312,I choose ripe ones.,Tớ chọn những quả đã chín.,aɪ t͡ʃuːz ɹaɪp wʌnz
313,I say the name of the vegetable.,Tớ đọc tên của loại củ.,aɪ seɪ ði neɪm ɔv ði ˈvɛd͡ʒtəbəl
314,It is “carrot”.,Đó là cà rốt.,ɪt is ˈkæɹ.ət
315,Can you name the fruit?,Bạn có thể kể tên một loại quả không?,ˈkæn jʉː neɪm ði fɹuːt
316,I eat ice cream in the coffee shop.,Tớ ăn kem trong quán cà phê.,aɪ iːt ʌɪs kɹiːm ɪn ði coffee shop
317,Mommy drinks cream soda.,Mẹ uống soda kem.,mommy drinks cream soda
318,We have a good time.,Tớ và mẹ đã có khoảng thời gian tuyệt vời bên nhau.,we have a good time
319,I honk the horn.,Tớ bấm còi.,i honk the horn
320,It makes a big noise.,Nó tạo ra tiếng ồn rất lớn.,it makes a big noise
