stt,en,vi,ipa
721,I walk down the ailse.,Tôi đi xuống phía lối đi.,aɪ /wɔːk/ daʊn ði ailse
722,I see many goods displayed on the shelf.,Tôi nhìn thấy nhiều đồ được trưng bày trên giá.,aɪ siː ˈmæni ɡʊdz dɪsˈpleɪd ɒn ði ʃɛlf
723,I look for the goods I want.,Tôi tìm mua đồ mà Tôi muốn.,aɪ look for ði ɡʊdz aɪ wɔnt
724,I stop at the meat section.,Tôi dừng lại ở quầy thịt.,aɪ stɒp at ði miːt ˈsɛkʃən
725,I should buy meat.,Tôi nên mua thịt.,aɪ /ʃʊd/ baɪ meat
726,It looks so delicious.,Nó trông rất ngon.,it looks so delicious
727,I look at a steak.,Tôi nhìn vào miếng thịt.,i look at a steak
728,They are wrapped one by one.,Chúng được gói từng miếng một.,they are wrapped one by one
729,I choose the best one.,Tôi chọn miếng ngon nhất.,i choose the best one
730,I look at the price.,Tôi nhìn vào giá.,i look at ði pɹaɪs
731,"Whoo, it’s too expensive.","Ôi, nó đắt quá!",whoo ɪt s tuː ɛkˈspɛnsɪv
732,I can’t buy it.,Tôi không thể mua được.,aɪ ˈkæn t baɪ ɪt
733,I put it back.,Tôi bỏ nó lại.,aɪ pʊt ɪt bæk
734,I give up buying the steak.,Tôi không mua miếng thịt đó nữa.,aɪ ɡɪv ap ˈbaɪ.ɪŋ ði steɪk
735,I’ll have a steak after I get my pay.,Tôi sẽ mua thịt sau khi nhận lương.,aɪ ll have æɪ steɪk after i get my pay
736,I pick up a package of ground beef.,Tôi chọn một gói thịt bò xay.,i pick up a package of ground beef
737,The price is reasonable.,Giá của nó rất hợp lí.,the price is reasonable
738,I can make hamburgers with it.,Tôi có thể làm bánh hamburgers với túi thịt bò này.,i can make hamburgers with it
739,I put the package into the cart.,Tôi bỏ gói thịt bò xay vào giỏ hàng.,i put the package into the cart
740,I have an apple and some bananas in my cart.,Trong giỏ hàng của tôi có 1 quả táo và vài quả chuối.,aɪ have æn ˈæp.əl and sɐm bəˈnɑːnəz ɪn mi kɑːt
