stt,en,vi,ipa
601,I get on the elevator.,Tôi vào thang máy.,aɪ ɡɛt ɒn ði ˈɛl.ə.veɪ.tɚ
602,I arrive at the office.,Tôi đi đến văn phòng.,aɪ əˈɹaɪv at ði /ˈɑfɪs/
603,The door is closing.,Cánh cửa đang đóng lại.,ði dɔː is ˈkləʊzɪŋ
604,I enter the office.,Tôi bước vào văn phòng.,aɪ ˈɛntə(ɹ) ði /ˈɑfɪs/
605,I turn the door knob.,Tôi vặn khóa cửa.,aɪ /tɜːn/ ði dɔː nɒb
606,I greet my coworkers.,Tôi chào hỏi đồng nghiệp.,aɪ ɡɹiːt mi coworkers
607,I open my desk drawer.,Tôi mở ngăn khéo bàn.,aɪ /ˈəʊ.pən/ mi dɛsk dɹɔː(ɹ)
608,I look for my pen.,Tôi tìm chiếc bút.,aɪ look for mi pɛn
609,I put my stationery in order.,Tôi để đồ dùng văn phòng theo thứ tự.,aɪ pʊt mi ˈsteɪʃ(ə)n(ə)ɹi ɪn /ˈɔːdə/
610,I type a letter.,Tôi soạn một lá thư.,aɪ taɪp æɪ -ɾə(ɹ)
611,I can type fast.,Tôi có thể đánh máy rất nhanh.,aɪ ˈkæn taɪp fɑːst
612,I’m a good secretary.,Tôi là một thư kí giỏi.,aɪ m æɪ ɡʊ(d) ˈsɛk.ɹə.tɹi
613,I hail a taxi.,Tôi gọi một chiếc taxi.,aɪ heɪl æɪ ˈtæk.si
614,I finish my work.,Tôi đã làm xong việc.,aɪ ˈfɪnɪʃ mi wɜːk
615,I leave the office.,Tôi rời văn phòng.,aɪ /liːv/ ði /ˈɑfɪs/
616,I give the taxi driver directions to the restaurant.,Tôi chỉ cho tài xế taxi đường đến nhà hàng.,aɪ ɡɪv ði ˈtæk.si ˈdɹaɪ.və(ɹ) daɪˈɹɛk.ʃənz tʉː ði ˈɹɛs.t(ə).ɹ(ə)nt
617,I get on taxi.,Tôi lên taxi.,aɪ ɡɛt ɒn ˈtæk.si
618,The taxi driver is nice.,Tài xế taxi rất tốt bụng.,ði ˈtæk.si ˈdɹaɪ.və(ɹ) is nice
619,I walk into the restaurant.,Tôi bước vào nhà hàng.,i walk into the restaurant
620,The waitress guides me to the seat.,Người bồi bàn chỉ tôi chỗ ngồi.,the waitress guides me to the seat
