stt,en,vi,ipa
161,Don’t litter the room.,Đừng làm vương vãi ra phòng nhé.,don t litter the room
162,It already has some trash.,Có một ít rác ở trong thùng rác rồi.,it already has some trash
163,I play ring toss.,Tớ chơi ném vòng.,i play ring toss
164,I throw the blue ring.,Tớ ném vòng màu xanh.,i throw the blue ring
165,I throw the red one on successfully.,Tớ đã ném trúng vòng màu đỏ.,i throw the red one on successfully
166,I sleep in my bed.,Tớ ngủ trên giường.,aɪ sliːp ɪn mi bed
167,My quilt is a yellow one with green dots.,Chăn của tớ là chăn màu vàng chấm bi xanh.,mi kwɪlt is æɪ jɛlə wan with ɡɹiːn dots
168,I’m Superman in my dream.,Trong giấc mơ tớ là siêu nhân.,aɪ m /ˈs(j)uːpəmæn/ ɪn mi dɹiːm
169,I go to the bathroom.,Tớ vào phòng tắm.,aɪ ɡəʉ tʉː ði ˈbæθ.ɹuːm
170,I’m wee-weeing.,Tớ đi tè.,aɪ m wiː weeing
171,I rub my eye.,Tớ rụi mắt.,aɪ ɹʌb mi aɪ
172,I take my pants down.,Tớ kéo quần xuống.,aɪ teɪk mi /pænts/ daʊn
173,I bend down.,Tớ cúi xuống.,aɪ bɛnd daʊn
174,I put my pants on the floor.,Tớ để quần ở trên sàn.,aɪ pʊt mi /pænts/ ɒn the floor
175,I sit on the potty.,Tớ ngồi trên cái bô.,i sit on the potty
176,I put my hands on my knees.,Tớ đặt tay trên đầu gối.,i put my hands on my knees
177,I want to poo-poo.,Tớ muốn đi ị.,i want to poo poo
178,I make poo-poo.,Tớ đi ị.,i make poo poo
179,I strain.,Tớ rặn.,i strain
180,I make grimaces.,Tớ nhăn mặt.,aɪ meɪk grimaces
