stt,en,vi,ipa
381,I put on weight.,Tớ tăng cân rồi.,aɪ pʊt ɒn weɪt
382,I have seafood for dinner.,Tớ ăn hải sản cho bữa tối.,aɪ have ˈsiːfuːd for ˈdɪnə
383,I have two rolls instead of rice.,Tớ ăn hai ổ bánh mì thay cơm.,aɪ have tuː ɹəʊlz ɪnˈstɛd of rice
384,I like fried shrimp.,Tớ thích ăn tôm chiên.,i like fried shrimp
385,I hold my breath.,Tớ nín thở.,i hold my breath
386,I have hiccups.,Tớ bị nấc.,i have hiccups
387,I want Mommy to tap my back.,Tớ muốn mẹ vỗ đằng sau lưng cho tớ.,i want mommy to tap my back
388,I get into bed.,Tớ leo lên giường.,i get into bed
389,I sleep with my bear.,Tớ ngủ với con gấu bông của mình.,aɪ sliːp with mi bɛə(ɹ)
390,I want to have a good dream.,Tớ muốn mơ một giấc mơ thật đẹp.,aɪ wɔnt tʉː have æɪ ɡʊ(d) dɹiːm
391,I get under the blanket.,Tớ chui dưới chăn.,aɪ ɡɛt ˈʊndə ði ˈblæŋkɪt
392,I crawl under the blanket.,Tớ bò dưới cái chăn.,aɪ kɹɔl ˈʊndə ði ˈblæŋkɪt
393,I feel like a caterpillar.,Tớ thấy mình giống như 1 con sâu vậy.,aɪ fiːl laɪk æɪ ˈkætəˌpɪlə
394,I stay at home alone.,Tớ ở nhà một mình.,aɪ steɪ at (h)əʊm əˈləʊn
395,I feel lonely.,Tớ cảm thấy cô đơn.,aɪ fiːl ˈləʊnli
396,I hope Mommy comes home soon.,Tớ mong mẹ sẽ sớm về nhà.,aɪ həʊp mommy comes home soon
397,I eat a lot.,Tớ ăn rất nhiều.,i eat a lot
398,I eat every kind of food.,Tớ ăn nhiều loại thức ăn.,i eat every kind of food
399,Sometimes I eat too much.,Đôi lúc tớ ăn quá nhiều.,sometimes i eat too much
400,I fall and get hurt.,Tớ ngã và bị đau.,i fall and get hurt
