stt,en,vi,ipa
401,My leg is bleeding.,Chân của tớ chảy máu.,mi leɪɡ is ˈbliːdɪŋ
402,I try not to cry.,Tớ cố không khóc.,aɪ tɹaɪ nɒt tʉː kɹaɪ̯
403,I cover myself up in the blanket.,Tớ đắp chăn lên người.,aɪ /ˈkʌvə/ maɪˈsɛlf ap ɪn ði ˈblæŋkɪt
404,I’m going to take a nap.,Tớ sẽ đi nghỉ trưa.,aɪ m ˈɡəʊɪŋ tʉː teɪk æɪ nap
405,I look at my toes under the blanket.,Tớ nhìn vào những ngón chân ở dưới chăn..,aɪ look at my toes under the blanket
406,I carry my school bag.,Tớ mang theo cặp sách.,i carry my school bag
407,It’s new.,Nó là cặp sách mới.,it s new
408,I think it’s suit me.,Tớ nghĩ nó rất hợp với tớ.,i think it s suit me
409,I forgot to gargle.,Tớ quên súc họng.,i forgot to gargle
410,I always gargle before I go out.,Tớ luôn luôn súc họng khi đi ra ngoài.,i ˈɔː(l).weɪz /ˈɡɑɹɡəl/ bɪˈfɔː aɪ ɡəʉ æɔt
411,It prevents catching a cold.,Nó giúp ngăn ngừa bị cảm lạnh.,ɪt prevents ˈkætʃɪŋ æɪ kɔʊld
412,I see a doctor.,Tớ gặp bác sĩ.,aɪ siː æɪ ˈdɒktə
413,I have a sore throat.,Tớ bị viêm họng.,aɪ have æɪ sɔː ˈθɹəʊt
414,He checks my throat.,Bác ấy kiểm tra họng của tớ.,heɪː tʃɛks mi ˈθɹəʊt
415,I get a shot.,Tớ bị tiêm.,aɪ ɡɛt æɪ ʃɒt
416,I roll up my left sleeve.,Tớ vén tay áo bên trái lên.,aɪ ɹəʊl ap mi lɛft sliːv
417,The shot is painful.,Tiêm rất đau.,ði ʃɒt is ˈpeɪn.fəl
418,I sing a song.,Tớ hát một bài hát.,aɪ sɪŋ æɪ sɒŋ
419,I sing along with the piano.,Tớ hát theo đàn piano.,aɪ sɪŋ əˈlɑŋ with ði piano
420,I clasp my hands behind my back.,Tớ nắm chặt tay mình ở đằng sau lưng.,i clasp my hands behind my back
