stt,en,vi,ipa
61,I wash the clothes with soap.,Tớ giặt quần áo với xà phòng.,i wash the clothes with soap
62,I wash some clothes by myself.,Tớ tự giặt một ít quần áo.,i wash some clothes by myself
63,I make a lather.,Tớ tạo ra bọt xà phòng.,aɪ meɪk æɪ ˈlæ.ðə(ɹ)
64,I rinse the clothes.,Tớ giũ quần áo.,aɪ ɹɛns ði kləʊ(ð)z
65,They are getting clean.,Quần áo sạch hơn rồi.,ðeɪ ɛə ˈɡɛɾɪŋ kleːn
66,I have to wring the water out of them.,Tớ phải vắt kiệt nước khỏi quần áo.,aɪ have tʉː ɹɪŋ ði ˈwoːtə æɔt ɔv ðʌm
67,I talk with Mommy.,Tớ nói chuyện với mẹ.,aɪ toːk with mommy
68,I carry the washing basket.,Tớ xách chiếc giỏ đựng quần áo.,aɪ ˈkæ.ɹi ði ˈwɒʃɪŋ basket
69,I help Mommy.,Tớ giúp đỡ mẹ.,i help mommy
70,I hang the washing out.,Tớ phơi quần áo.,i hang the washing out
71,I’m standing on the stool.,Tớ đứng trên chiếc ghế đẩu.,i m standing on the stool
72,I put clothes pins on the clothes.,Tớ kẹp những chiếc ghim vào quần áo.,i put clothes pins on the clothes
73,I smooth it down.,Tớ kéo phẳng quần áo.,i smooth it daʊn
74,It will remove the wrinkles.,Nó sẽ làm các vết nhàu biến mất.,ɪt wɪl ɹɪˈmuːv ði wrinkles
75,I’m standing on tiptoes.,Tớ đang đứng trên mũi chân của mình.,aɪ m ˈstændɪŋ ɒn tiptoes
76,I hand a ladle to Mommy.,Tớ đưa cho mẹ một cái muỗng canh.,aɪ hænd æɪ ˈleɪ.dəl tʉː mommy
77,I help Mommy to cook.,Tớ giúp mẹ nấu ăn.,aɪ hɛlp mommy tʉː kuːk
78,We make lunch together.,Hai mẹ con tớ cùng nhau nấu bữa trưa.,wiː meɪk lʌnt͡ʃ together
79,I make noodles.,Tớ nấu mì.,i make noodles
80,I make the dough thinner.,Tớ làm cho bột mỏng hơn.,i make the dough thinner
