stt,en,vi,ipa
481,I study about shapes.,Tớ học về hình dạng.,i study about shapes
482,I’m gazing at the blue block.,Tớ nhìn chằm chằm vào hình màu xanh.,i m gazing at the blue block
483,Where should I put it?,Tớ nên đặt nó vào đâu?,wɛə(ɹ) /ʃʊd/ aɪ pʊt ɪt
484,I match the shapes.,Tớ ghép các hình khối cho khớp.,aɪ mæt͡ʃ ði ʃeɪps
485,I finished.,Tớ đã hoàn thành.,aɪ ˈfɪnɪʃt
486,I’m sastisfied.,Tớ rất hài lòng.,aɪ m sastisfied
487,I say the color of each card.,Tớ đọc màu của mỗi tấm thẻ.,aɪ seɪ ði ˈkʌl.ə(ɹ) ɔv iːt͡ʃ kaːd
488,I have 5 pieces of paper on the table.,Tớ có 5 tấm thẻ trên bàn.,aɪ have ˈpiːsɪz ɔv ˈpeɪpə ɒn ði /ˈteɪbəl/
489,"They are red, purple, green, blue and yellow.","Chúng là đỏ, tím, xanh lá cây, xanh dương, và vàng.",ðeɪ ɛə ɹɛd ˈpɜː(ɹ).pəl ɡɹiːn blue and yellow
490,I go get my lunch.,Tớ đi lấy bữa trưa.,i go get my lunch
491,I’m very hungry.,Tớ đang rất đói.,i m very hungry
492,I hope it is a hot dog.,Tớ hi vọng đó là món bánh mì kẹp xúc xích.,i hope it is a hot dog
493,I get older.,Tớ lớn hơn rồi.,i get older
494,I was cute when I was a baby.,Khi còn nhỏ tớ rất đáng yêu.,i was cute when i was æɪ ˈbeɪbi
495,I remember things when I was in Mommy’s tummy.,Tớ nhớ cả những điều khi còn ở trong bụng mẹ.,aɪ ɹɪˈmɛmbə θɪŋz ʍɛn aɪ was ɪn mommy s ˈtʌm.i
496,I go to school.,Tớ đi học.,aɪ ɡəʉ tʉː skuːl
497,I wear my yellow cap.,Tớ đội chiếc mũ lưỡi trai màu vàng.,aɪ wɛə mi jɛlə kæp
498,I carry my schoolbag on my back.,Tớ đeo cặp trên lưng.,aɪ ˈkæ.ɹi mi schoolbag ɒn mi bæk
499,I eat salad.,Tớ ăn rau trộn.,aɪ iːt ˈsæləd
500,I am about to eat a piece of tomato.,Tớ sẽ ăn một miếng cà chua.,aɪ e̞m əˈbɛʊt tʉː iːt æɪ piece of tomato
