stt,en,vi,ipa
881,The hot water feels good.,Nước nóng thật dễ chịu,ði hɒt ˈwoːtə fiːlz ɡʊ(d)
882,I put back the tub covers.,Tôi đậy nắp bồn tắm lại.,aɪ pʊt bæk ði tʌb /ˈkʌvəz/
883,I wrap a bath towel around my body.,Tôi quấn khăn quanh người.,aɪ ɹæp æɪ bɐːθ taʊl əˈɹaʊnd mi ˈbɒdi
884,I get out of the bathroom.,Tôi đi ra khỏi phòng tắm.,aɪ ɡɛt æɔt ɔv ði ˈbæθ.ɹuːm
885,I turn on the lights.,Tôi bật điện.,aɪ /tɜːn/ ɒn ði laɪts
886,I push the switch.,Tôi ấn công tắc.,aɪ pʷʊʃ ði swɪtʃ
887,I stand in front of the washstand.,Tôi đứng trước bồn rửa mặt.,aɪ stænd ɪn fɹʌnt ɔv ði washstand
888,I reach for my toothbrush.,Tôi lấy bàn chải đánh răng.,aɪ ɹiːt͡ʃ for mi ˈtuːθbɹʌʃ
889,Two bottles of lotion are on the shelf.,Hai lọ sữa rửa mặt và gội đầu đang ở trên giá.,tuː ˈbɒtl̩z ɔv ˈləʊʃən ɛə ɒn ði ʃɛlf
890,I always put my toothbrush in my cup.,Tôi luôn để bàn chải đánh răng vào cốc của mình.,aɪ ˈɔː(l).weɪz pʊt mi ˈtuːθbɹʌʃ ɪn mi cup
891,I put water in the cup.,Tôi cho nước vào cốc.,i put water in the cup
892,I turn on the faucet.,Tôi mở vòi nước.,i turn on the faucet
893,I fill the cup with water.,Tôi đổ đầy nước vào cốc.,i fill the cup with water
894,I squeeze out the toothpaste on my toothbrush.,Tôi bóp kem đánh răng lên bàn chải.,i squeeze out the toothpaste on my toothbrush
895,The paste comes out from the tube.,Kem đánh răng đi ra từ tuýp kem.,ði peɪst kʌmz æɔt fɹɒm ði tjuːb
896,I brush my teeth.,Tôi đánh răng.,aɪ bɹʌʃ mi tiːθ
897,I brush my teeth after meals.,Tôi đánh răng sau mỗi bữa ăn.,aɪ bɹʌʃ mi tiːθ ˈæf.tə(ɹ) meals
898,I have no cavities.,Tôi không có lỗ răng sâu nào cả.,aɪ have nəʊ cavities
