stt,en,vi,ipa
21,This blouse has three buttons.,Chiếc áo này có 3 cái cúc.,ðəs blaʊs has θɹiː ˈbʌtn̩z
22,I put on my green skirt.,Tớ mặc chiếc váy xanh lá cây.,aɪ pʊt ɒn mi ɡɹiːn skɜːt
23,This is my favorite skirt.,Đây là chiếc váy tớ thích.,ðəs is mi ˈfeɪv.ɹɪt skɜːt
24,Do I look pretty?,Trông tớ có xinh không?,dʉː aɪ look pretty
25,I look at some pretty flowers.,Tớ ngắm một vài bông hoa đẹp.,i look at some pretty flowers
26,They smell good.,Chúng rất thơm.,they smell good
27,Mommy takes care of these flowers.,Mẹ chăm sóc những bông hoa này.,mommy takes care of these flowers
28,I pour some misosoup over rice.,Tớ chan súp miso (canh tương) lên cơm.,i pour some misosoup over rice
29,Mommy doesn’t like me to do so.,Mẹ không thích tớ làm như vậy.,mommy doesn t like me to dʉː səʊ
30,I spill my miso soup.,Tớ làm súp tràn ra ngoài.,aɪ spɪl mi ˈmiːsəʊ suːp
31,I walk.,Tớ đi bộ.,aɪ wɔːk
32,I walk to school.,Tớ đi bộ đến trường.,aɪ wɔːk tʉː skuːl
33,I wear my green shoes.,Tớ đi đôi giầy màu xanh lá.,aɪ wɛə mi ɡɹiːn ʃuːz
34,I water the flowers.,Tớ tưới hoa.,aɪ ˈwoːtə ði ˈflaʊ.əz
35,Tulips are colorful.,Hoa tuy-lip rất sặc sỡ.,tulips ɛə ˈkʌləfəl
36,I use my watering can.,Tớ dùng bình tưới hoa của mình.,aɪ use mi watering ˈkæn
37,I water the garden.,Tớ tưới nước cho khu vườn.,aɪ ˈwoːtə ði ˈɡɑːdn̩
38,I fill my watering can.,Tớ lấy đầy nước vào bình.,aɪ fɪl mi watering ˈkæn
39,It’s hot today.,Hôm nay trời nóng.,ɪt s hɒt təˈdeɪ
40,I swim in the ocean.,Tớ bơi ở biển.,aɪ swɪm ɪn ði ocean
