stt,en,vi,ipa
761,Eggs break easily.,Trứng rất dễ vỡ.,eggs break easily
762,I break an egg into a bowl.,Tôi đập trứng vào bát.,i break an egg into a bowl
763,I hold the shells in my hands.,Tôi giữ vỏ trứng ở trong tay mình.,i hold the shells in my hands
764,I break it very well.,Tôi đập trứng rất giỏi.,i break it very well
765,I throw away the shells.,Tôi vứt vỏ trứng đi.,i throw away the shells
766,I put them in a garbage box.,Tôi bỏ chúng vào thùng rác.,aɪ pʊt /ðʌm/ ɪn æɪ ˈɡɑːbɪd͡ʒ /bɒks/
767,The sink is still clean.,Bồn rửa vẫn rất sạch sẽ.,ði sɪŋk is stɪl kleːn
768,I beat the egg.,Tôi đánh trứng.,aɪ biːt ði eɪɡ
769,Egg yolk and egg white is mixed.,Lòng đỏ và lòng trắng được trộn vào nhau.,eɪɡ jəʊk and eɪɡ waɪt is mɪkst
770,It becomes yellow.,Nó trở thành màu vàng.,ɪt bəˈkʌmz yellow
771,I pick up the onion.,Tôi lấy 1 củ hành.,i pick up the onion
772,I’ll mix the onions with the egg.,Tôi sẽ trộn hành với trứng.,i ll mix the onions with the egg
773,Onions have peels.,Hành có vỏ.,onions have peels
774,I peel the onion.,Tôi gọt vỏ hành.,i peel the onion
775,I throw the peels away.,Tôi vứt vỏ đi.,i throw the peels əˈweɪ
776,I cut it into small pieces.,Tôi thái hành thành những miếng nhỏ.,aɪ kʌt ɪt ˈɪn.tuː smoːl ˈpiːsɪz
777,I remove the seeds from the green pepper.,Tôi tách hạt ra khỏi trái ớt xanh.,aɪ ɹɪˈmuːv ði siːdz fɹɒm ði ɡɹiːn ˈpɛpə
778,There are many small seeds inside of the pepper.,Có rất nhiều hạt trong quả ớt.,ðeː(ɹ) ɛə ˈmæni smoːl siːdz ɪnˈsaɪd ɔv ði ˈpɛpə
779,I take out all of them.,Tôi lấy hết hạt ra khỏi quả ớt.,aɪ take out all of them
780,I mix the green pepper and the egg.,Tôi trộn ớt xanh và trứng.,i mix the green pepper and the egg
